time,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2,trueAirspeed_nmi_h
0.0,2.09556463253E7,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,32.1065364063,0.0,-0.0,0.0,9.999999999960824,19.999999999978947,29.999999999939774,0.0,994.853991834,8.91300230208E-4,630.333405472,411.83924,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
0.1,2.09556461659E7,7.77706631909E-7,0.0,0.0,2.32534282532E-5,3.19951050373,29999.8405577,2.12636285968E-12,0.0,32.1065368957,3.007961821051008,1.994928737060043,1.0245719672801545,9.447842334295489,20.421538010791668,29.790520706687968,-191.97063022380001,994.85468063,8.91305280419E-4,630.337770167,411.839806896,0.0,0.0,0.0,-2.90265021582E-6,-2.53481078885E-5,-9.15248364562E-6,0.00321606953888,0.00456211932358,1.89566485527
0.2,2.09556456859E7,6.22165305976E-6,0.0,0.0,9.32470270527E-5,6.39902110512,29999.3606311,1.70109032793E-11,0.0,32.1065383687,6.035747125734354,3.974597809910866,2.0984912884028355,8.880575817867566,20.791372640195547,29.58182724292847,-383.9412663072,994.856753928,8.91320481722E-4,630.350908046,411.841513271,0.0,0.0,0.0,-5.45683044646E-6,-5.1615206296E-5,-1.81770428742E-5,0.00643212565292,0.0182487884096,3.79132969867
0.3,2.09556448861E7,2.09980791491E-5,0.0,0.0,2.09903031646E-4,9.59853190188,29998.5607535,5.74118009571E-11,0.0,32.1065408237,9.089040383899293,5.931255497297285,3.2210414293280794,8.300824774651892,21.108601511175934,29.375286532923422,-575.9119141128,994.860209425,8.91345817229E-4,630.372804512,411.844357229,0.0,0.0,0.0,-7.65110272053E-6,-7.86063388927E-5,-2.70759635813E-5,0.00964815500442,0.0410609413442,5.68699456956
0.4,2.09556437662E7,4.97732249083E-5,0.0,0.0,3.73221449763E-4,12.7980429917,29997.4409248,1.36087239878E-10,0.0,32.1065442606,12.173239819989277,7.857029168915145,4.391749346606316,7.711172481067422,21.37254790436962,29.17210363886817,-767.882579502,994.86504712,8.91381286939E-4,630.403459565,411.848338772,0.0,0.0,0.0,-9.47717836629E-6,-1.06123220729E-4,-3.58530042953E-5,0.0128641442567,0.0730001354383,7.5826595077
0.5,2.09556423265E7,9.72133305735E-5,0.0,0.0,5.83202294138E-4,15.9975544723,29996.0011449,2.65795410491E-10,0.0,32.1065486796,15.293378938307264,9.743944324684255,5.610304523566046,7.114182517249473,21.582845845849754,28.97333916843768,-959.8532683379999,994.871267015,8.91426890853E-4,630.442873206,411.853457897,0.0,0.0,0.0,-1.09298872504E-5,-1.33966143921E-4,-4.45131748425E-5,0.0160800800746,0.114068551242,9.4783245534
0.6,2.09556405667E7,1.67984636639E-4,0.0,0.0,8.39845581595E-4,19.1970664413,29994.2414138,4.59294511747E-10,0.0,32.1065540806,18.454037070971157,11.583951694139508,6.876461207115406,6.51238400398998,21.73943049856633,28.779899781735292,-1151.8239864779998,994.878869109,8.91482628974E-4,630.491045436,411.859714607,0.0,0.0,0.0,-1.2007120328E-5,-1.61935811912E-4,-5.30624976792E-5,0.0192959491248,0.164268992561,11.3739897477
0.7,2.0955638487E7,2.66753383968E-4,0.0,0.0,0.00114315133101,22.3965789965,29992.1617316,7.29342753344E-10,0.0,32.1065604635,21.65923802632084,13.368962843775384,8.189924222805555,5.908258403336888,21.842526985371975,28.592531673783252,-1343.79473979,994.887853403,8.91548501302E-4,630.547976257,411.867108901,0.0,0.0,0.0,-1.27097488465E-5,-1.89835089092E-4,-6.1507758229E-5,0.0225117380767,0.223604886486,13.2696551325
0.8,2.09556360874E7,3.98185813854E-4,0.0,0.0,0.00149311956602,25.5960922355,29989.762098,1.08869835784E-9,0.0,32.1065678284,24.91233715727512,15.090895465291684,9.550219817395352,5.3042277902111135,21.892637968099123,28.411816987749575,-1535.7655341299999,994.898219896,8.9162450784E-4,630.613665671,411.875640779,0.0,0.0,0.0,-1.30415233121E-5,-2.17470655779E-4,-6.98562504546E-5,0.0257274336022,0.292080283413,15.1653207509
0.9,2.09556333678E7,5.66948168089E-4,0.0,0.0,0.00188975031324,28.795606256,29987.0425131,1.55011956279E-9,0.0,32.1065761754,28.215898482969585,16.741729415277657,10.956554086239915,4.702644473854766,21.89053026383886,28.23817306196694,-1727.73637536,994.90996859,8.91710648591E-4,630.688113679,411.885310241,0.0,0.0,0.0,-1.30089550137E-5,-2.44654561221E-4,-7.81155236361E-5,0.0289430223769,0.369699857084,17.0609866469
