time,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2,trueAirspeed_nmi_h
0.0,2.09556463253E7,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,32.1065364063,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,994.853991834,8.91300230208E-4,630.333405472,411.83924,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.09556461659E7,7.77706631909E-7,0.0,0.0,2.32534282532E-5,3.19951050252,29999.8405577,2.12636285968E-12,0.0,32.1065368662,0.0,0.0,-4.1780742375497725E-4,0.0,0.0,0.0,-191.9706301512,994.85468063,8.91305280419E-4,630.337770167,411.839806896,0.0,0.0,-0.0,0.0,0.0,0.0,0.0032160581489,0.00456208700938,1.89565814162
0.2,2.09556456859E7,6.22165305763E-6,0.0,0.0,9.32470270527E-5,6.3990210999,29999.3606311,1.70109032735E-11,0.0,32.1065383065,0.0,0.0,-8.356148602685786E-4,0.0,0.0,0.0,-383.941265994,994.856753928,8.91320481722E-4,630.350908046,411.841513271,0.0,0.0,-0.0,0.0,0.0,0.0,0.00643210298902,0.0182486598089,3.79131633973
0.3,2.09556448861E7,2.09980791367E-5,0.0,0.0,2.09903031191E-4,9.59853188979,29998.5607535,5.74118009231E-11,0.0,32.1065407287,0.0,0.0,-0.0012534223222965635,0.0,0.0,0.0,-575.9119133874,994.860209425,8.91345817228E-4,630.372804512,411.844357229,0.0,0.0,-0.0,0.0,0.0,0.0,0.00964812121458,0.0410606537367,5.68697465252
0.4,2.09556437662E7,4.97732248721E-5,0.0,0.0,3.73221449308E-4,12.7980429699,29997.4409248,1.36087239779E-10,0.0,32.106544133,0.0,0.0,-0.001671229822603859,0.0,0.0,0.0,-767.882578194,994.86504712,8.91381286938E-4,630.403459565,411.848338772,0.0,0.0,-0.0,0.0,0.0,0.0,0.0128640995202,0.0729996277068,7.58263313815
0.5,2.09556423265E7,9.72133304695E-5,0.0,0.0,5.83202293683E-4,15.9975544379,29996.0011449,2.65795410207E-10,0.0,32.1065485192,0.0,0.0,-0.002089037373938775,0.0,0.0,0.0,-959.853266274,994.871267015,8.91426890853E-4,630.442873206,411.853457897,0.0,0.0,-0.0,0.0,0.0,0.0,0.0160800246011,0.114067764209,9.47829185481
0.6,2.09556405667E7,1.67984636415E-4,0.0,0.0,8.39845580231E-4,19.1970663914,29994.2414139,4.59294511135E-10,0.0,32.1065538874,0.0,0.0,-0.0025068449890668127,0.0,0.0,0.0,-1151.823983484,994.878869109,8.91482628973E-4,630.491045436,411.859714607,0.0,0.0,-0.0,0.0,0.0,0.0,0.0192958831531,0.16426786931,11.3739508607
0.7,2.0955638487E7,2.66753383551E-4,0.0,0.0,0.00114315132873,22.3965789283,29992.1617316,7.29342752202E-10,0.0,32.1065602376,0.0,0.0,-0.002924652680742012,0.0,0.0,0.0,-1343.7947356979998,994.887853403,8.91548501302E-4,630.547976257,411.867108901,0.0,0.0,-0.0,0.0,0.0,0.0,0.0225116618731,0.223603372655,13.2696102139
0.8,2.09556360874E7,3.98185813144E-4,0.0,0.0,0.00149311956261,25.5960921461,29989.762098,1.0886983559E-9,0.0,32.1065675699,0.0,0.0,-0.0033424604617298716,0.0,0.0,0.0,-1535.765528766,994.898219896,8.9162450784E-4,630.61366567,411.875640778,0.0,0.0,-0.0,0.0,0.0,0.0,0.025727347459,0.292078327469,15.1652699728
0.9,2.09556333678E7,5.66948166948E-4,0.0,0.0,0.00188975030778,28.7956061425,29987.0425131,1.55011955967E-9,0.0,32.1065758841,0.0,0.0,-0.003760268344778703,0.0,0.0,0.0,-1727.73636855,994.90996859,8.9171064859E-4,630.688113678,411.885310241,0.0,0.0,-0.0,0.0,0.0,0.0,0.0289429266101,0.369697410557,17.0609301954
1.0,2.09556303283E7,7.77706687291E-4,0.0,0.0,0.0023330435954,31.9951210153,29984.0029768,2.12636461814E-9,0.0,32.1065851803,0.0,0.0,-0.004178076342654007,0.0,0.0,0.0,-1919.707260918,994.923099483,8.91806923554E-4,630.771320283,411.896117288,0.0,0.0,-0.0,0.0,0.0,0.0,0.032158386027,0.456465922306,18.9565909399
1.1,2.09556269688E7,0.00103512761714,0.0,0.0,0.00282299945843,35.1946368621,29980.6434889,2.83019180518E-9,0.0,32.1065954585,0.0,0.0,-0.004595884468109823,0.0,0.0,0.0,-2111.678211726,994.937612578,8.91913332737E-4,630.863285487,411.90806192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0353737124121,0.552389786689,20.8522522645
1.2,2.09556232894E7,0.00134387720015,0.0,0.0,0.00335961793462,38.3941537806,29976.9640494,3.67435941606E-9,0.0,32.1066067187,0.0,0.0,-0.005013692733905921,0.0,0.0,0.0,-2303.649226836,994.953507874,8.9202987614E-4,630.964009293,411.921144138,0.0,0.0,-0.0,0.0,0.0,0.0,0.0385888924696,0.657475551267,22.7479142275
1.3,2.095561929E7,0.00170862168079,0.0,0.0,0.00394289906512,41.5936718685,29972.9646581,4.67162576963E-9,0.0,32.1066189609,0.0,0.0,-0.005431501152802072,0.0,0.0,0.0,-2495.62031211,994.970785371,8.92156553767E-4,631.073491705,411.935363942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0418039129057,0.771730387188,24.6435768869
1.4,2.09556149706E7,0.00213402730433,0.0,0.0,0.00457284289359,44.7931912235,29968.645315,5.83474921042E-9,0.0,32.1066321851,0.0,0.0,-0.005849309737529398,0.0,0.0,0.0,-2687.59147341,994.989445071,8.92293365623E-4,631.191732724,411.950721332,0.0,0.0,-0.0,0.0,0.0,0.0,0.0450187604289,0.895162089194,26.539240301
1.5,2.09556103313E7,0.00262476031701,0.0,0.0,0.00524944946892,47.9927119433,29964.0060198,7.17648811084E-9,0.0,32.1066463913,0.0,0.0,-0.006267118500927882,0.0,0.0,0.0,-2879.562716598,995.009486974,8.92440311711E-4,631.318732356,411.967216309,0.0,0.0,-0.0,0.0,0.0,0.0,0.0482334217499,1.02777907562,28.4349045279
1.6,2.09556053721E7,0.00318548696605,0.0,0.0,0.00597271884271,51.1922341256,29959.0467725,8.70960087327E-9,0.0,32.1066615795,0.0,0.0,-0.0066849274556369746,0.0,0.0,0.0,-3071.5340475360003,995.03091108,8.92597392036E-4,631.454490604,411.984848873,0.0,0.0,-0.0,0.0,0.0,0.0,0.0514478835823,1.1695903884,30.3305696259
1.7,2.09556000929E7,0.00382087349972,0.0,0.0,0.00674265106954,54.391757868,29953.7675729,1.04468459322E-8,0.0,32.1066777498,0.0,0.0,-0.007102736614548224,0.0,0.0,0.0,-3263.50547208,995.05371739,8.92764606603E-4,631.599007472,412.003619025,0.0,0.0,-0.0,0.0,0.0,0.0,0.0546621326421,1.32060569308,32.2262356531
1.8,2.09555944937E7,0.00453558616744,0.0,0.0,0.00755924620876,57.5912832683,29948.1684209,1.24009817564E-8,0.0,32.106694902,0.0,0.0,-0.007520545990324,0.0,0.0,0.0,-3455.476996098,995.077905905,8.92941955417E-4,631.752282965,412.023526765,0.0,0.0,-0.0,0.0,0.0,0.0,0.0578761556484,1.4808352788,34.1219026676
1.9,2.09555885746E7,0.00533429121981,0.0,0.0,0.00842250432197,60.7908104242,29942.2493162,1.45847668511E-8,0.0,32.1067130363,0.0,0.0,-0.00793835559574126,0.0,0.0,0.0,-3647.4486254519998,995.103476626,8.93129438482E-4,631.914317086,412.044572094,0.0,0.0,-0.0,0.0,0.0,0.0,0.0610899393235,1.6502900583,36.0175707278
2.0,2.09555823356E7,0.00622165490875,0.0,0.0,0.00933242547512,63.9903394332,29936.0102588,1.701095976E-8,0.0,32.1067321526,0.0,0.0,-0.008356165443519668,0.0,0.0,0.0,-3839.420365992,995.130429552,8.93327055806E-4,632.085109842,412.066755013,0.0,0.0,-0.0,0.0,0.0,0.0,0.0643034703929,1.82898156796,37.9132398917
2.1,2.09555757766E7,0.0072023434875,0.0,0.0,0.0102890097387,67.1898703933,29929.4512483,1.96923190676E-8,0.0,32.1067522509,0.0,0.0,-0.008773975546550771,0.0,0.0,0.0,-4031.392223598,995.158764686,8.93534807393E-4,632.264661237,412.090075522,0.0,0.0,-0.0,0.0,0.0,0.0,0.0675167355856,2.01692196775,39.8089102176
2.2,2.09555688976E7,0.00828102321071,0.0,0.0,0.0112922571846,70.3894034019,29922.5722846,2.26416034011E-8,0.0,32.1067733313,0.0,0.0,-0.009191785917439646,0.0,0.0,0.0,-4223.364204114,995.188482028,8.93752693251E-4,632.452971277,412.114533623,0.0,0.0,-0.0,0.0,0.0,0.0,0.0707297216345,2.21412404129,41.7045817635
2.3,2.09555616987E7,0.00946236033457,0.0,0.0,0.0123421678898,73.5889385569,29915.3733675,2.58715714328E-8,0.0,32.1067953936,0.0,0.0,-0.009609596569020544,0.0,0.0,0.0,-4415.336313414,995.219581579,8.93980713386E-4,632.650039968,412.140129315,0.0,0.0,-0.0,0.0,0.0,0.0,0.0739424152759,2.42060119581,43.6002545878
2.4,2.09555541798E7,0.0107510211168,0.0,0.0,0.0134387419339,76.7884759558,29907.8544968,2.93949818823E-8,0.0,32.1068184381,0.0,0.0,-0.010027407514070425,0.0,0.0,0.0,-4607.308557347999,995.25206334,8.94218867804E-4,632.855867315,412.166862599,0.0,0.0,-0.0,0.0,0.0,0.0,0.0771548032506,2.63636746218,45.4959287486
2.5,2.0955546341E7,0.0121516718167,0.0,0.0,0.0145819794011,79.9880156965,29900.0156723,3.3224593518E-8,0.0,32.1068424645,0.0,0.0,-0.010445218765308953,0.0,0.0,0.0,-4799.28094179,995.285927312,8.94467156514E-4,633.070453324,412.194733477,0.0,0.0,-0.0,0.0,0.0,0.0,0.0803668723034,2.8614374949,47.3916043041
2.6,2.09555381822E7,0.0136689786954,0.0,0.0,0.0157718803785,83.1875578766,29891.8568936,3.73731651601E-8,0.0,32.106867473,0.0,0.0,-0.010863030335513082,0.0,0.0,0.0,-4991.2534725959995,995.321173495,8.94725579522E-4,633.293798004,412.22374195,0.0,0.0,-0.0,0.0,0.0,0.0,0.0835786091836,3.09582657213,49.2872813124
2.7,2.09555297035E7,0.0153076080157,0.0,0.0,0.0170084449571,86.3871025937,29883.3781606,4.18534556823E-8,0.0,32.1068934635,0.0,0.0,-0.011280842237459777,0.0,0.0,0.0,-5183.226155622,995.357801891,8.94994136837E-4,633.525901359,412.253888017,0.0,0.0,-0.0,0.0,0.0,0.0,0.0867900006449,3.33955059565,51.1829598318
2.8,2.09555209048E7,0.0170722260424,0.0,0.0,0.0182916732308,89.5866499456,29874.579473,4.66782240139E-8,0.0,32.1069204361,0.0,0.0,-0.011698654483811402,0.0,0.0,0.0,-5375.1989967360005,995.395812502,8.95272828466E-4,633.766763398,412.28517168,0.0,0.0,-0.0,0.0,0.0,0.0,0.090001033446,3.59262609094,53.0786399204
2.9,2.09555117861E7,0.0189674990419,0.0,0.0,0.0196215652979,92.7862000301,29865.4608305,5.18602291421E-8,0.0,32.1069483908,0.0,0.0,-0.012116467087459507,0.0,0.0,0.0,-5567.1720018060005,995.435205327,8.95561654419E-4,634.016384127,412.317592941,0.0,0.0,-0.0,0.0,0.0,0.0,0.0932116943505,3.85507020709,54.9743216364
3.0,2.09555023475E7,0.0209980932829,0.0,0.0,0.0209981212595,95.9857529446,29856.0222329,5.74122301141E-8,0.0,32.1069773275,0.0,0.0,-0.012534280061066463,0.0,0.0,0.0,-5759.145176676,995.47598037,8.95860614704E-4,634.274763554,412.351151799,0.0,0.0,-0.0,0.0,0.0,0.0,0.0964219701271,4.12690071691,56.870005038
