time,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,trueAirspeed_nmi_h
0.0,0.0,0.0,0.0,30000.0,0.0,0.0,32.10653699,0.0,0.0,0.0,9.999999988558965,19.99999997711793,30.000000022972678,0.0,994.8492583,8.90951E-4,629.8546116,411.8392612,0.0,0.0,0.0,0.0,0.0,0.0,1.01E-8,5.92E-6
0.1,0.0,2.1E-5,3.199510561,29999.84002,1.82E-12,0.0,32.10653738,3.004403429,2.000611467,1.014821452,9.452192519620873,20.43327736540144,29.79403573308942,-191.9706337,994.8499466,8.90956E-4,629.8591389,411.8398311,0.0,0.0,0.0,0.0,0.0,0.0,0.003216074,1.895658176
0.2,0.0,8.87E-5,6.399021221,29999.3601,1.58E-11,0.0,32.10653876,6.028403529,3.989381167,2.079550548,8.896758409471808,20.839087156986416,29.5957549791262,-383.9412732,994.8520117,8.90972E-4,629.872771,411.8415408,0.0,0.0,0.0,0.0,0.0,0.0,0.006432134,3.791316409
0.3,0.0,2.02981E-4,9.598532075,29998.56022,5.46E-11,0.0,32.10654111,9.078842191,5.960658753,3.194991034,8.334468229050435,21.2176856931904,29.406014390282504,-575.9119245,994.8554451,8.90998E-4,629.8954474,411.8443835,0.0,0.0,0.0,0.0,0.0,0.0,0.009648168,5.68697476
0.4,0.0,3.63967E-4,12.79804322,29997.44039,1.31E-10,0.0,32.10654445,12.16231386,7.908920289,4.361735209,7.766007006696616,21.56921925013849,29.225647849333377,-767.8825934,994.8602553,8.91034E-4,629.9271791,411.8483661,0.0,0.0,0.0,0.0,0.0,0.0,0.012864162,7.582633284
0.5,0.0,5.71614E-4,15.99755476,29996.00061,2.58E-10,0.0,32.10654877,15.2853095,9.828488548,5.580641716,7.1920172572818055,21.89385484502797,29.05543222975323,-959.8532857,994.866442,8.91081E-4,629.9680164,411.8534885,0.0,0.0,0.0,0.0,0.0,0.0,0.016080103,9.478292042
0.6,0.0,8.25925E-4,19.19706679,29994.24088,4.48E-10,0.0,32.10655408,18.45418082,11.71351076,6.85277516,6.613100128124659,22.191773417930538,28.896086536279167,-1151.824007,994.8739972,8.91138E-4,630.0179494,411.8597438,0.0,0.0,0.0,0.0,0.0,0.0,0.019295978,11.37395109
0.7,0.0,0.001126897,22.3965794,29992.1612,7.14E-10,0.0,32.10656036,21.67509109,13.55794025,8.179332036,6.029816945977062,22.46316438869326,28.748271561136317,-1343.794764,994.8829289,8.91205E-4,630.0768892,411.867139,0.0,0.0,0.0,0.0,0.0,0.0,0.022511774,13.26961049
0.8,0.0,0.001474532,25.5960927,29989.76156,1.07E-9,0.0,32.10656763,24.95395021,15.35552311,9.561551107,5.442691566151104,22.70821964088173,28.612589540263144,-1535.765562,994.8932372,8.91283E-4,630.1449367,411.875674,0.0,0.0,0.0,0.0,0.0,0.0,0.025727477,15.16527029
0.9,0.0,0.00186883,28.79560678,29987.04198,1.52E-9,0.0,32.10657588,28.2963319,17.09979149,11.00060642,4.852212320575571,22.92712870893458,28.489584497086117,-1727.736407,994.904922,8.91371E-4,630.2220928,411.8853488,0.0,0.0,0.0,0.0,0.0,0.0,0.028943074,17.06093056
1.0,0.0,0.00230979,31.99512173,29984.00244,2.09E-9,0.0,32.10658511,31.70737108,18.78406526,12.49748151,4.258835054472272,23.120073965317992,28.37974218522395,-1919.707304,994.9179749,8.9147E-4,630.3082478,411.8961566,0.0,0.0,0.0,0.0,0.0,0.0,0.032158552,18.95659136
