time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2
0.0,2.09556463255E7,0.0,0.0,0.0,1528.10982905,0.0,0.0,0.0,-0.0,30000.0,0.0,0.0,32.1065359519,0.0,0.0,0.0,10.0,20.0,30.0,994.849493459,8.90685451211E-4,629.673709538,411.838873082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.09556461649E7,152.810982514,0.0,-3.21065361152,1528.10981734,0.0,0.0,2.33311981015E-5,3.19951045886,29999.8400245,2.12636283364E-12,0.0,32.10653644285363,3.00808585517,1.9953043942,1.02472420685,9.45215667519,20.4331394412,29.7940751215,994.850180536,8.90690687135E-4,629.67828085,411.839441943,0.0,0.0,0.0,0.0,0.0,0.0,0.00321607265249,0.00455894112995
0.2,2.09556456833E7,305.621962687,0.0,-6.42130732108,1528.10978222,0.0,0.0,9.33247945784E-5,6.39902101541,29999.3600979,1.70109025607E-11,0.0,32.10653791581453,6.03679851716,3.97766903762,2.09973974004,8.89672857293,20.8389488872,29.5958001213,994.852241766,8.9070639505E-4,629.691994949,411.841148525,0.0,0.0,0.0,0.0,0.0,0.0,0.00643213207695,0.0182360866792
0.3,2.09556448807E7,458.432938178,0.0,-9.63196122668,1528.10972369,0.0,0.0,2.09980794584E-4,9.59853176734,29998.5602203,5.74117986225E-11,0.0,32.10654037078269,9.09276610719,5.94168865645,3.22531003353,8.3344440407,21.217547434,29.4060648519,994.85567714,8.90732575381E-4,629.71485232,411.843992828,0.0,0.0,0.0,0.0,0.0,0.0,0.00964816504564,0.0410324031477
0.4,2.09556437569E7,611.243906645,0.0,-12.8426154264,1528.10964175,0.0,0.0,3.73299207616E-4,12.7980428123,29997.4403915,1.3608723458E-10,0.0,32.10654380775811,12.1825286245,7.88182718442,4.40200157799,7.76598814814,21.5690814043,29.2257032209,994.860486643,8.90769228839E-4,629.746853772,411.847974853,0.0,0.0,0.0,0.0,0.0,0.0,0.0128641583313,0.072949501442
0.5,2.09556423121E7,764.054865747,0.0,-16.0532700182,1528.10953639,0.0,0.0,5.83280045925E-4,15.9975542481,29996.0006117,2.65795401314E-10,0.0,32.106548226740806,15.3125109277,9.79239376761,5.63063290236,7.19200340097,21.8937176487,29.0554920641,994.866670258,8.90816356416E-4,629.788000438,411.8530946,0.0,0.0,0.0,0.0,0.0,0.0,0.0160800987077,0.113989636984
0.6,2.09556405463E7,916.865813143,0.0,-19.2639251001,1528.10940762,0.0,0.0,8.39923324517E-4,19.1970661723,29994.2408807,4.59294495665E-10,0.0,32.10655362773077,18.4889844064,11.667521944,6.91221141682,6.61309094292,22.1916371937,28.8961503946,994.874227959,8.9087395939E-4,629.838293773,411.85935207,0.0,0.0,0.0,0.0,0.0,0.0,0.0192959729493,0.164155709865
0.7,2.09556384594E7,1069.67674649,0.0,-22.4745807703,1528.10925544,0.0,0.0,0.00114322906411,22.3965786826,29992.1611984,7.29342727705E-10,0.0,32.106560010628,21.7180149852,13.5011530213,8.24785641659,6.02981219842,22.4630292761,28.74833897,994.883159715,8.90942039323E-4,629.897735559,411.866747264,0.0,0.0,0.0,0.0,0.0,0.0,0.0225117678323,0.223451265043
0.8,2.09556360514E7,1222.48766345,0.0,-25.6852371266,1528.10907985,0.0,0.0,0.00149319728611,25.5960918767,29989.7615649,1.08869831813E-9,0.0,32.10656737563251,25.0053951976,15.2870249266,9.63870647477,5.44269091022,22.7080857963,28.6126601236,994.89346549,8.91020598059E-4,629.966327899,411.875280182,0.0,0.0,0.0,0.0,0.0,0.0,0.0257274701344,0.291880492581
0.9,2.09556333223E7,1375.29856168,0.0,-28.8958942671,1528.10888084,0.0,0.0,0.00188982801993,28.7956058524,29987.04198,1.55011950758E-9,0.0,32.1065757225443,28.3565583356,17.0186680644,11.0858095867,4.85221552704,22.9269962129,28.4896578042,994.905145244,8.91109637729E-4,630.044073221,411.884950825,0.0,0.0,0.0,0.0,0.0,0.0,0.0289430666351,0.369448227936
