time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2
0.0,4198656.97133,-1.644134508E7,1.22548934718E7,2363.38821198,1461.86866076,1143.84466938,1414.21356237,1414.21356237,-3.41060513165E-13,30013.0,-75.6744444444,36.0191666667,32.12709524778666,45.0,-0.741575148285,2.00391729448E-13,0.00235753465221,-0.00787706166474,-0.00248766188623,994.793658319,8.90260046232E-4,629.302323618,411.792646119,-12420.1876321,1.88627859738E-9,-20193.8257947,-4.06350806266E-16,-3.63797880709E-12,-9.84479759378E-19,2.01046717907,1780.52009246
0.1,4198893.30967,-1.64411988913E7,1.22550078553E7,2363.37852654,1461.90553726,1143.82383071,1414.194762,1414.23236255,3.49783022102E-6,30012.9999999,-75.6739669309,36.0195545835,32.127095628258296,45.0003311636,-0.741576502835,-1.01746589435E-4,-4.93579819354E-4,-0.00787706679306,-0.00102879223424,994.79365832,8.90260046236E-4,629.302323622,411.792646119,-12420.1870544,-4.48920638834,-20193.7821879,-7.52362465166,-9.77270246949E-8,28.7380045914,2.01046717911,1780.52009254
0.2,4199129.64702,-1.64410526989E7,1.22551222366E7,2363.36843534,1461.94253538,1143.80328132,1414.17632365,1414.25080032,1.32998210347E-5,30012.9999991,-75.6734894088,36.0199424953,32.127096008673654,45.0009143195,-0.741577856349,-6.43788029752E-4,-0.00550472217587,-0.00787707155051,0.00222936129045,994.793658323,8.90260046261E-4,629.302323644,411.792646122,-12420.1865639,-6.05408924969,-20193.7450765,-6.71363578078,-1.06141669676E-7,37.3327539036,2.01046717921,1780.52009278
0.3,4199365.98336,-1.64409065028E7,1.22552366159E7,2363.35833242,1461.97954045,1143.7827359,1414.15789391,1414.26922911,2.84645208239E-5,30012.999997,-75.6730118781,36.0203304019,32.127096389118975,45.0018256265,-0.741579203059,-0.00160096691846,-0.00812100255687,-0.00787711726202,0.00518550096228,994.793658332,8.90260046328E-4,629.302323703,411.792646129,-12420.1861475,-4.21480716665,-20193.7135101,-0.427443870075,-9.57516022027E-8,23.7784193703,2.01046717937,1780.52009324
0.4,4199602.3187,-1.6440760303E7,1.22553509932E7,2363.34855214,1462.01645519,1143.76195237,1414.13917287,1414.2879488,4.81970827195E-5,30012.9999932,-75.6725343389,36.0207183035,32.12709676960431,45.0029446645,-0.741580538955,-0.00260595440376,-0.00634349894108,-0.00787719135823,0.00620648191535,994.793658348,8.90260046453E-4,629.302323811,411.792646143,-12420.1857913,-0.46107014146,-20193.6863762,6.32499954916,-7.20283424016E-8,-1.29902125523,2.01046717961,1780.52009396
0.5,4199838.65308,-1.64406140995E7,1.22554653683E7,2363.33919412,1462.0532503,1143.74085888,1414.12007123,1414.30704865,7.18355992149E-5,30012.9999873,-75.6720567909,36.0211061998,32.127097149984756,45.0040495507,-0.741581869744,-0.00324762945408,-0.00125476321659,-0.00787723096395,0.00497132102357,994.793658374,8.90260046648E-4,629.302323982,411.792646164,-12420.185488,2.84866680092,-20193.6630235,9.2611888983,-7.06459104549E-8,-22.2882834861,2.0104671799,1780.52009496
0.6,4200074.98655,-1.64404678923E7,1.22555797413E7,2363.33010176,1462.08997067,1143.71956951,1414.10072961,1414.32638804,9.88071313941E-5,30012.9999788,-75.671579234,36.0214940908,32.127097530503754,45.0049554362,-0.741583206725,-0.00333436745347,0.0041496941108,-0.00787722336322,0.0024691548262,994.79365841,8.90260046926E-4,629.302324225,411.792646194,-12420.1852342,3.92423824894,-20193.6431686,6.99591630281,-8.34079401102E-8,-27.9933934833,2.01046718024,1780.52009625
0.7,4200311.3191,-1.64403216815E7,1.22556941122E7,2363.32098594,1462.12669956,1143.69829447,1414.08140756,1414.34570744,1.28618886265E-4,30012.9999674,-75.6711016683,36.0218819765,32.12709791095171,45.0056132258,-0.741584554959,-0.00298758277029,0.00698168884566,-0.00787721065941,2.66209210803E-4,994.793658459,8.90260047298E-4,629.302324549,411.792646235,-12420.1850228,2.46780446482,-20193.6263232,1.34801712198,-7.9602614278E-8,-17.2913620201,2.01046718063,1780.52009786
0.8,4200547.65073,-1.6440175467E7,1.2255808481E7,2363.31160555,1462.16350643,1143.67720907,1414.06232152,1414.36479045,1.60868652188E-4,30012.999953,-75.6706240938,36.0222698569,32.12709829140311,45.006118822,-0.74158590987,-0.00254087501699,0.00611129863091,-0.00787721191195,-4.49601888263E-4,994.793658521,8.90260047771E-4,629.302324962,411.792646286,-12420.1848447,-0.362165717563,-20193.6118435,-4.1557686406,-6.28242560197E-8,1.60983390945,2.01046718108,1780.52009981
0.9,4200783.98141,-1.64400292488E7,1.22559228477E7,2363.3018963,1462.20040962,1143.65636022,1414.04352928,1414.38357932,1.95220767409E-4,30012.9999352,-75.6701465105,36.0226577321,32.12709867182816,45.0066399364,-0.741587263413,-0.00233029567518,0.00258971446937,-0.00787721240443,5.17692864815E-4,994.793658598,8.90260048353E-4,629.30232547,411.792646349,-12420.1846954,-2.79644559382,-20193.5993652,-6.51086156061,-5.63668436371E-8,17.0296692611,2.01046718156,1780.52010212
