time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2
0.0,2.09256463255E7,0.0,0.0,1000.0,2525.92219455,6.12303176911E-14,6.12303176911E-14,1000.0,-1000.0,0.0,0.0,0.0,32.1988102141,90.0,0.0,0.0,0.0,-0.00417807,0.0,1116.45000305,0.00237689282456,2116.23841715,518.67,-33.0008018002,4.16528678098E-31,33.0008018002,0.0,0.0,0.0,1.26670568186,2376.89282456
0.1,2.09257460002E7,252.427824837,6.11296583395E-15,993.503567201,2522.64037058,6.10293705529E-14,6.10293705529E-14,996.698922676,-993.533997806,99.6763098706,2.73353083227E-4,0.0,32.19850297014271,90.0,2.73353496451E-4,-4.23199767727E-20,0.0,-0.00417807,0.0,1116.06736929,0.00236996791419,2108.62680941,518.31454003,-32.6360711969,1.45721452648E-20,32.5321279642,0.0,0.0,0.0,1.26095342661,2346.88270523
0.2,2.09258450277E7,504.529277667,1.22059478042E-14,987.053654632,2519.39465359,6.08306342503E-14,6.08306342503E-14,993.434170074,-987.114397811,198.70834628,5.45806005407E-4,0.0,32.198197716458544,90.0,5.45806831855E-4,-8.45848363953E-20,0.0,-0.00417807,0.0,1115.68708241,0.00236310312528,2101.08644119,517.961380995,-32.2773954866,2.88244607344E-20,32.0714504583,0.0,0.0,0.0,1.2552502172,2317.38450543
0.3,2.09259434125E7,756.307939172,1.8279165158E-14,980.649470851,2516.18444553,6.0634072195E-14,6.0634072195E-14,990.205141664,-980.740410448,297.100709835,8.17368646728E-4,0.0,32.197894438829294,90.0,8.173698864E-4,-1.26795183831E-19,0.0,-0.00417807,0.0,1115.30912707,0.00235629781753,2093.61648625,517.610506426,-31.924641224,4.27650088946E-20,31.6185920205,0.0,0.0,0.0,1.24959529213,2288.38692899
0.4,2.09260411591E7,1007.76733089,2.43328335244E-14,974.290241908,2513.00916145,6.04396486021E-14,6.04396486021E-14,987.011250111,-974.411263599,394.857923026,0.00108805072448,0.0,32.19759312313703,90.0,0.00108805237738,-1.68951614071E-19,0.0,-0.00417807,0.0,1114.93348818,0.00234955136169,2086.21613305,517.261900129,-31.5776786732,5.64016133618E-20,31.1733803059,0.0,0.0,0.0,1.24398790746,2259.87899351
0.5,2.0926138272E7,1258.91091651,3.03671649929E-14,967.975210863,2509.8682292,6.02473284685E-14,6.02473284685E-14,983.851920909,-968.126202117,491.984432036,0.00135786179664,0.0,32.19729375566412,90.0,0.00135786386276,-2.11054712348E-19,0.0,-0.00417807,0.0,1114.56015092,0.00234286313934,2078.88458435,516.915546186,-31.2363816841,6.97418672204E-20,30.7356477221,0.0,0.0,0.0,1.2384273363,2231.85001994
0.6,2.09262347556E7,1509.74210312,3.63823681911E-14,961.703637319,2506.76108905,6.0057077551E-14,6.0057077551E-14,980.72659203,-961.884487358,588.484608316,0.00162681126533,0.0,32.19699632289319,90.0,0.00162681374467,-2.53105054355E-19,0.0,-0.00417807,0.0,1114.18910074,0.00233623254263,2071.62105695,516.571428945,-30.9006275738,8.27931410127E-20,30.3052312721,0.0,0.0,0.0,1.23291286839,2204.28962248
0.7,2.09263306142E7,1760.26424245,4.23786483594E-14,955.474796965,2503.68719336,5.98688623455E-14,5.98688623455E-14,977.634713576,-955.685396729,684.362750296,0.00189490838018,0.0,32.19670081130714,90.0,0.00189491127275,-2.95103206445E-19,0.0,-0.00417807,0.0,1113.82032331,0.00232965897405,2064.42478131,516.229533017,-30.570297012,9.55625904229E-20,29.8819724025,0.0,0.0,0.0,1.22744380963,2177.18769895
0.8,2.0926425852E7,2010.48063206,4.83562074237E-14,949.287981144,2500.64600623,5.96826500669E-14,5.96826500669E-14,974.575747457,-949.528223252,779.623084893,0.00216216224165,0.0,32.19640720808914,90.0,0.00216216554744,-3.37049725841E-19,0.0,-0.00417807,0.0,1113.45380456,0.00232314184618,2057.29500131,515.889843268,-30.2452739116,1.08057163649E-19,29.4657168578,0.0,0.0,0.0,1.22201948164,2150.5344215
0.9,2.09265204731E7,2260.39451649,5.43152440667E-14,943.142496428,2497.63700321,5.94984086299E-14,5.94984086299E-14,971.54916706,-943.412275144,874.269769114,0.00242858180418,0.0,32.19611550002263,90.0,0.00242858552319,-3.78945160821E-19,0.0,-0.00417807,0.0,1113.08953065,0.00231668058152,2050.23097387,515.552344813,-29.9254453228,1.20283608495E-19,29.0563145406,0.0,0.0,0.0,1.21663922138,2124.32022765
