time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2,trueAirspeed_nmi_h,feVelocity_ft_s_Z
16.290000915527344,2.0935299589369424E7,38353.6503176819,2.8793138247105824E-13,2.093533037849886E7,13484.889584698834,2.8793138247105824E-13,258.5859347504739,2241.5894698446455,3.2561546899843715E-14,4.8646799193182394E-14,714.4832937783357,-262.69210525904873,9688.395990550518,0.036905419670108845,7.880099947986989E-19,32.16896709616564,90.0,0.036905419662111937,8.48872826919453E-15,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15761.526315542924,1078.6410573800124,0.0017727909058042077,1473.2734891228774,484.1356726079593,-9.468396532317973,-8.995508524875942E-16,3.4742976956307117,0.0,0.0,0.0,0.7057442665100098,513.660400390625,451.0251770019531,-262.69210525904873
16.299999237060547,2.0935302173447274E7,38376.06573588207,2.882570771685563E-13,2.0935332999045946E7,13492.035631920506,2.8825707716855637E-13,258.2296449039803,2241.494178539253,3.257750821258554E-14,4.864108028473015E-14,714.388183105172,-262.338040377498,9691.02114123106,0.03692497233085208,7.8890125643076845E-19,32.16895901555343,89.99999999999999,0.03692497232284318,2.047793102491943E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15740.282422649878,1078.6306381994632,0.001772645152435933,1473.1239013252757,484.12631959365325,-9.463727497040209,-8.997773844022393E-16,3.468355628991139,0.0,0.0,0.0,0.7055550813674927,513.3329467773438,450.8999328613281,-262.338040377498
16.309999465942383,2.093530475396252E7,38398.48020140105,2.8858292955028656E-13,2.093533561605085E7,13499.180726884118,2.8858292955028656E-13,257.87341454528394,2241.3989335986903,3.2593467942497723E-14,4.8635363422563205E-14,714.2931197183269,-261.9840347638923,9693.64275155589,0.03694452238680602,7.897929495226453E-19,32.16895094584202,89.99999999999997,0.03694452237878711,1.248616452878557E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15719.042085833536,1078.620232972702,0.001772499604820861,1472.9745275776493,484.11697919544724,-9.459063795347731,-1.092206738042913E-15,3.46241911780866,0.0,-0.0,0.0,0.7053660750389099,513.0059814453125,450.7747802734375,-261.9840347638923
16.31999969482422,2.0935307330915757E7,38420.89371470224,2.889089461362964E-13,2.093533822951417E7,13506.324870060136,2.8890894613629644E-13,257.51724361875705,2241.303734969681,3.261000232870004E-14,4.8630224842402246E-14,714.1981035643392,-261.6300883627197,9696.260822117329,0.03696406983926806,7.90685091918643E-19,32.16894288702957,90.0,0.03696406983124963,1.2010944836676225E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15697.805301763181,1078.6098416977713,0.0017723542628885168,1472.8253677956307,484.1076514112213,-9.45440542227355,-1.092096310393086E-15,3.456488154089621,0.0,-0.0,0.0,0.7051772475242615,512.6793823242188,450.6497497558594,-261.6300883627197
16.329999923706055,2.093530990430758E7,38443.30627624847,2.8923513112318106E-13,2.0935340839436494E7,13513.46806191843,2.8923513112318106E-13,257.1611320688516,2241.2085825990002,3.262691767306312E-14,4.862547084272358E-14,714.1031345897966,-261.2762011185474,9698.875353507698,0.036983614689534,7.915776951042499E-19,32.16893483911423,90.0,0.036983614681535444,1.0128702125943414E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15676.572067112846,1078.5994643727126,0.0017722091265684867,1472.6764218949381,484.09833623885567,-9.44975237285829,-9.004363766380982E-16,3.4505627298496897,0.0,0.0,0.0,0.7049885392189026,512.3532104492188,450.52484130859375,-261.2762011185474
16.34000015258789,2.0935312474138588E7,38465.717886502076,2.8956147605516235E-13,2.0935343445818428E7,13520.610302928395,2.895614760551624E-13,256.80507984009955,2241.1134764334693,3.2642680941973516E-14,4.8619568386524445E-14,714.0082127413348,-260.9223729760231,9701.486346330494,0.037003156938898295,7.924707359379824E-19,32.168926802094155,90.0,0.037003156930885274,1.5607705671289198E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15655.342378561385,1078.5891009955226,0.0017720641957897955,1472.5276897907343,484.0890336761906,-9.445104642146767,-9.00665256007737E-16,3.4446428371126268,0.0,0.0,0.0,0.704800009727478,512.0275268554688,450.4000244140625,-260.9223729760231
16.350000381469727,2.0935315040409368E7,38488.128545924825,2.898879782371937E-13,2.0935346048660543E7,13527.751593558867,2.898879782371937E-13,256.44908687711256,2241.0184164199623,3.265787015316746E-14,4.861309548815653E-14,713.9133379656425,-260.56860387987314,9704.093801159412,0.037022696588653925,7.93364207044315E-19,32.168918775967555,89.99999999999999,0.037022696580624195,1.432802910995396E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15634.116232792388,1078.5787515643158,0.0017719194704831891,1472.3791713999694,484.07974372117275,-9.440462225200363,-9.009016543189638E-16,3.43872846791472,0.0,0.0,0.0,0.704611599445343,511.70220947265625,450.2752990722656,-260.56860387987314
16.360000610351562,2.0935317603120517E7,38510.53825497798,2.9021464108801337E-13,2.093534864796345E7,13534.89193427817,2.902146410880134E-13,256.093153124582,2240.9234025054,3.2674966487610125E-14,4.8608533325205384E-14,713.818510209456,-260.2148937749042,9706.697718597949,0.037042233640092403,7.942581177799052E-19,32.16891076073255,89.99999999999999,0.03704223363205367,1.432802911311175E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15612.893626494253,1078.5684160770872,0.0017717749505778175,1472.2308666379765,484.0704663716424,-9.435825117079126,-1.091672542169901E-15,3.432819614298297,0.0,0.0,0.0,0.7044233679771423,511.3773498535156,450.1507263183594,-260.2148937749042
16.3700008392334,2.093532016227262E7,38532.94701412228,2.905414727913633E-13,2.0935351243727714E7,13542.031325554068,2.905414727913633E-13,255.73727852727887,2240.8284346367554,3.269481955619398E-14,4.8606731505188665E-14,713.7237294195617,-259.86124260600167,9709.298099219799,0.03706176809450378,7.951524905422446E-19,32.168902756387375,89.99999999999999,0.03706176808646512,2.3245386929583902E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15591.6745563601,1078.5580945319507,0.001771630636004546,1472.0827754218715,484.0612016255461,-9.431193312859504,-1.0915194839270306E-15,3.4269162683181538,0.0,0.0,0.0,0.704235315322876,511.05291748046875,450.0262145996094,-259.86124260600167
16.3799991607666,2.0935322717866275E7,38555.3548238179,2.9086849064088015E-13,2.093535383595396E7,13549.169767853822,2.908684906408802E-13,255.38146303005362,2240.733512761048,3.2709720435822546E-14,4.859998110164002E-14,713.6289955427948,-259.5076503181307,9711.89494363591,0.03708129995317661,7.96047372660727E-19,32.16889476293012,90.0,0.0370812999451578,1.2392984215592879E-14,1.5996043844491983E-18,-0.004178074132240403,1.5996043844491983E-18,15570.45901908784,1078.5477869268707,0.0017714865266922363,1471.9348976667347,484.0519494806979,-9.426566807614465,-1.0914321005824005E-15,3.421018422034315,0.0,-0.0,0.0,0.7040473818778992,510.7289123535156,449.90185546875,-259.5076503181307
