time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2
0.0,2.09322545305E7,0.0,0.0,0.0,1526.40407246,0.0,0.0,0.0,-0.0,30000.0,0.0,0.0,32.1263120705,0.0,0.0,0.0,10.0,20.0,30.0,994.849493459,8.90685451211E-4,629.673709538,411.838873082,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.09322543699E7,152.640406855,1.14686868622E-25,-3.21262823588,1526.40406074,6.04496698297E-24,6.04496700051E-24,2.33456829909E-5,3.20149752179,29999.8399251,2.13006164356E-12,3.13920967199E-31,32.12631256185416,3.01848523902,1.97281990539,1.05189602353,10.0,20.0,30.0,994.850180963,8.90690690389E-4,629.678283691,411.839442296,3.08537031337E-6,-1.64502972572E-6,-8.95575913773E-5,0.0,0.0,0.0,0.00321807000002,0.00456460558565
0.2,2.0932253888E7,305.280811368,1.82729365394E-25,-6.42523864455,1526.4040256,5.26317790641E-23,5.263177912E-23,9.33824056386E-5,6.40297721603,29999.3597011,1.70404566109E-11,5.00166942608E-31,32.12631403591663,6.07796216744,3.88713582048,2.20825551802,10.0,20.0,30.0,994.85224347,8.90706408038E-4,629.692006288,411.841149936,2.43031400991E-5,-1.37873576762E-5,-3.57417089329E-4,0.0,0.0,0.0,0.00643610873749,0.0182586428706
0.3,2.09322530848E7,457.921211195,1.52150205819E-23,-9.63781339794,1526.40396704,5.89085978372E-22,5.89085985353E-22,2.10109193951E-4,9.60442125431,29998.5593308,5.75113426934E-11,4.16465662252E-29,32.126316492687415,9.18406624412,5.73660372783,3.46882343069,10.0,20.0,30.0,994.85568096,8.90732604494E-4,629.714877738,411.843995991,8.06270787486E-5,-4.85801717892E-5,-8.0114728172E-4,0.0,0.0,0.0,0.00965408494963,0.0410827734321
0.4,2.09322519604E7,610.561603994,1.03261551483E-22,-12.8503346662,1526.40388504,8.37548967449E-22,8.37549030621E-22,3.73524422799E-4,12.8058118065,29997.4388186,1.36322523799E-10,2.82647614533E-28,32.126319932166524,12.3418503034,7.51470851691,4.83323184222,10.0,20.0,30.0,994.860493399,8.90769280323E-4,629.746898722,411.847980446,1.87543708664E-4,-1.19834257069E-4,-0.00141672480227,0.0,0.0,0.0,0.0128719673732,0.0730380998771
0.5,2.09322505148E7,763.201987423,2.50261573853E-22,-16.062784617,1526.40377962,1.3344749371E-21,1.33447512848E-21,5.8362581651E-4,16.0071310398,29995.9981708,2.66253274202E-10,6.85016259308E-28,32.12632435435395,15.5557030573,9.21477333414,6.30086480116,10.0,20.0,30.0,994.866680741,8.90816436313E-4,629.788070196,411.853103279,3.58820400841E-4,-2.42837924119E-4,-0.0021985768761,0.0,0.0,0.0,0.0160897247443,0.114126165809
0.6,2.09322487479E7,915.842359138,3.29498956853E-22,-19.2751454145,1526.40365077,2.50902724706E-21,2.50902754942E-21,8.40410449863E-4,19.208361118,29994.2373954,4.60082157268E-10,9.01904988374E-28,32.1263297591497,18.8292524282,10.8299814859,7.87071355512,10.0,20.0,30.0,994.874242927,8.9087407348E-4,629.838393386,411.859364463,6.0629039399E-4,-4.34160455576E-4,-0.00313964069415,0.0,0.0,0.0,0.0193073257982,0.164348955781
0.7,2.09322466597E7,1068.4827168,9.18311355348E-22,-22.4873992183,1526.4034985,1.13633449088E-20,1.13633458919E-20,0.00114387474519,22.4094842007,29992.1565022,7.30586857504E-10,2.51360332826E-27,32.12633614655377,22.1652565235,12.3534124126,9.54122434918,10.0,20.0,30.0,994.883179884,8.90942193063E-4,629.897869794,411.866763963,9.39656695707E-4,-7.11440747884E-4,-0.00423143895131,0.0,0.0,0.0,0.0225247392689,0.223708895239
0.8,2.09322442504E7,1221.12305806,1.87394547454E-21,-25.6995281832,1526.4033228,1.06405432451E-20,1.06405455379E-20,0.00149401447765,25.610482442,29989.7555027,1.09054399755E-9,5.12936717448E-27,32.12634351656616,25.5654866594,13.7780930619,11.3101426102,10.0,20.0,30.0,994.893491526,8.91020796529E-4,629.966501192,411.875301738,0.0013663166818,-0.00109316294609,-0.00546417095482,0.0,0.0,0.0,0.0257419338891,0.292208850443
0.9,2.09322415198E7,1373.76338058,3.67164325103E-21,-28.9115144577,1526.40312367,1.67843551472E-20,1.67843602009E-20,0.00189082476877,28.8113379901,29987.0344104,1.55272896016E-9,1.0050030309E-26,32.12635186908689,29.0306086749,15.0970655811,13.1743592177,10.0,20.0,30.0,994.905177753,8.91109885568E-4,630.044289626,411.884977742,0.00189120905412,-0.00159842097702,-0.0068268185864,0.0,0.0,0.0,0.02895887839,0.369852128389
1.0,2.09322384681E7,1526.40368201,5.59583122487E-21,-32.1233401833,1526.40290111,2.03983616743E-20,2.03983702321E-20,0.00233430008877,32.0120329863,29983.9932405,2.12991571168E-9,1.53169242596E-26,32.12636120411595,32.5600706904,16.3034715773,15.1297665259,10.0,20.0,30.0,994.918238454,8.91209462099E-4,630.131237416,411.895791922,0.00251668464934,-0.00224667398036,-0.0083072662825,0.0,0.0,0.0,0.0321755415009,0.456642476703
1.1,2.09322350952E7,1679.04396002,9.36316280399E-21,-35.3349874938,1526.40265513,5.5815631551E-20,5.58156473018E-20,0.00282443425637,35.2125495641,29980.6320098,2.83487662945E-9,2.56288784928E-26,32.12637152165336,36.1520072242,17.3906522493,17.1711336079,10.0,20.0,30.0,994.932673502,8.91319528262E-4,630.227347152,411.907744218,0.00324240241187,-0.00305749471781,-0.00989243408362,0.0,0.0,0.0,0.0353918919492,0.55258408353
1.2,2.09322314011E7,1831.68421225,1.57976315811E-20,-38.5464385145,1526.40238572,7.31628644085E-20,7.31628933989E-20,0.00336122043846,38.4128698482,29976.9507371,3.68038232182E-9,4.32413341459E-26,32.126382821499114,39.8031708563,18.3522624877,19.2920115108,10.0,20.0,30.0,994.948482758,8.91440086426E-4,630.3326217,411.920834565,0.00406525165491,-0.00405031310566,-0.0115684226971,0.0,0.0,0.0,0.03860789846,0.657681577409
1.3,2.09322273859E7,1984.32443638,2.53401463407E-20,-41.7576753609,1526.40209288,1.29541374293E-19,1.29541424669E-19,0.00394465114974,41.612975954,29972.9494429,4.67920144905E-9,6.93611532244E-26,32.12639510375322,43.508903044,19.1823956429,21.4846797645,10.0,20.0,30.0,994.965666071,8.91571139185E-4,630.447064198,411.935062891,0.00497930153581,-0.00524415706753,-0.0133206694176,0.0,0.0,0.0,0.0418235297559,0.771940027132
1.4,2.09322230496E7,2136.96463005,3.99133587847E-20,-44.9686801382,1526.40177662,1.61344633058E-19,1.61344718507E-19,0.00457471825154,44.8128499864,29968.6281496,5.84410054724E-9,1.09251033071E-25,32.126408368215685,47.2631548733,19.8757141969,23.7401446008,10.0,20.0,30.0,994.984223275,8.91712689356E-4,630.570678055,411.950429118,0.00597577846619,-0.00665739293851,-0.0151341136582,0.0,0.0,0.0,0.0450387545567,0.895364941591
1.5,2.09322183922E7,2289.60479092,6.01244219068E-20,-48.1794349405,1526.40143693,2.43743990603E-19,2.43744128511E-19,0.00525141295139,48.0124740389,29963.9868813,7.18784384963E-9,1.64572886436E-25,32.126422614886515,51.058566204,20.4275802281,26.0481970407,10.0,20.0,30.0,995.00415419,8.91864739984E-4,630.703466957,411.966933162,0.007043071966,-0.00830746767212,-0.0169933707602,0.0,0.0,0.0,0.0482535415796,1.02796226961
1.6,2.09322134137E7,2442.24491665,8.87778050076E-20,-51.3899218495,1526.40107381,2.81329654494E-19,2.81329871694E-19,0.00597472580224,51.2118301931,29959.0256638,8.72319310796E-9,2.43003136181E-25,32.12643784366571,54.8866077691,20.8341785489,28.397535137,10.0,20.0,30.0,995.025458627,8.92027294337E-4,630.845434859,411.984574932,0.00816676925391,-0.0102106551047,-0.0188829126771,0.0,0.0,0.0,0.0514678595383,1.16973839976
1.7,2.09322081142E7,2594.8850049,1.21681259258E-19,-54.6001229342,1526.40068726,3.91195458644E-19,3.91195774941E-19,0.006744646704,54.4109005175,29953.7445248,1.0462907425E-8,3.33066750995E-25,32.12645405455331,58.7377855531,21.0926249427,30.7759494393,10.0,20.0,30.0,995.048136378,8.92200355912E-4,630.996585991,412.003354331,0.00932971864723,-0.0123818085196,-0.0207872540608,0.0,0.0,0.0,0.0546816771434,1.32070016018
1.8,2.09322024937E7,2747.52505333,1.59962354414E-19,-57.8100202496,1526.40027729,3.91195437102E-19,3.91195877351E-19,0.00756116489928,57.6096670669,29948.1434938,1.24197430569E-8,4.37850136063E-25,32.12647124734928,62.6019007553,21.2010522093,33.1705647526,10.0,20.0,30.0,995.072187226,8.92383928427E-4,631.156924857,412.023271257,0.0105121216224,-0.0148341217252,-0.0226911422263,0.0,0.0,0.0,0.0578949631018,1.48085481834
1.9,2.09321965522E7,2900.16505958,2.05529285705E-19,-61.019595836,1526.39984389,4.51910730806E-19,4.51911327869E-19,0.00842426897414,60.8081118811,29942.2226021,1.46064532518E-8,5.62576435532E-25,32.12648942195365,66.4683526882,21.1586678212,35.5681253093,10.0,20.0,30.0,995.097610939,8.92578015827E-4,631.326456233,412.044325599,0.0116916531652,-0.0175789008159,-0.0245797494228,0.0,0.0,0.0,0.0611076861166,1.65021008085
