time,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,trueAirspeed_nmi_h
0.0,0.0,0.0,0.0,30000.0,0.0,0.0,32.10653699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.8492583,8.90951E-4,629.8546116,411.8392612,0.0,0.0,0.0,0.0,0.0,0.0,1.01E-8,5.92E-6
0.1,-2.66E-12,2.1E-5,3.199507647,29999.84002,1.82E-12,-2.1E-20,32.10653738,-1.19E-26,-1.53E-20,-4.17807E-4,0.0,0.0,0.0,-191.9704588,994.8499466,8.90956E-4,629.8591389,411.8398311,-2.52E-10,5.29E-11,-7.25E-5,0.0,0.0,0.0,0.003216071,1.895656449
0.2,-5.46E-12,8.87E-5,6.398997488,29999.3601,1.58E-11,-4.02E-20,32.10653876,-2.58E-26,-3.44E-20,-8.35615E-4,0.0,0.0,0.0,-383.9398493,994.8520117,8.90972E-4,629.872771,411.8415408,-5.32E-10,2.36E-10,-3.23247E-4,0.0,0.0,0.0,0.00643211,3.791302348
0.3,-8.26E-12,2.02979E-4,9.598451706,29998.56023,5.46E-11,-5.93E-20,32.10654111,-3.98E-26,-5.36E-20,-0.001253422,0.0,0.0,0.0,-575.9071024,994.8554451,8.90998E-4,629.8954474,411.8443835,-8.12E-10,5.49E-10,-7.53063E-4,0.0,0.0,0.0,0.009648087,5.686927142
0.4,-1.11E-11,3.6396E-4,12.79785249,29997.44041,1.31E-10,-7.84E-20,32.10654445,-5.37E-26,-7.27E-20,-0.00167123,0.0,0.0,0.0,-767.8711494,994.8602553,8.91034E-4,629.9271791,411.8483661,-1.09E-9,9.93E-10,-0.001361997,0.0,0.0,0.0,0.01286397,7.582520278
0.5,-1.39E-11,5.71598E-4,15.99718202,29996.00066,2.58E-10,-9.76E-20,32.10654877,-6.77E-26,-9.18E-20,-0.002089037,0.0,0.0,0.0,-959.8309213,994.866442,8.91081E-4,629.9680164,411.8534885,-1.37E-9,1.57E-9,-0.002150079,0.0,0.0,0.0,0.016079728,9.478071199
0.6,-1.67E-11,8.2589E-4,19.19642248,29994.24098,4.48E-10,-1.17E-19,32.10655408,-8.16E-26,-1.11E-19,-0.002506845,0.0,0.0,0.0,-1151.785349,994.8739972,8.91138E-4,630.0178994,411.8597438,-1.65E-9,2.27E-9,-0.003117345,0.0,0.0,0.0,0.01929533,11.37356935
0.7,-1.95E-11,0.001126833,22.39555605,29992.16138,7.14E-10,-1.36E-19,32.10656036,-9.56E-26,-1.3E-19,-0.002924653,0.0,0.0,0.0,-1343.733363,994.8829289,8.91205E-4,630.0768892,411.867139,-1.93E-9,3.11E-9,-0.004263841,0.0,0.0,0.0,0.022510745,13.26900417
0.8,-2.23E-11,0.001474423,25.59456489,29989.76187,1.07E-9,-1.55E-19,32.10656763,-1.1E-25,-1.49E-19,-0.00334246,0.0,0.0,0.0,-1535.673894,994.8932372,8.91283E-4,630.1449367,411.875674,-2.21E-9,4.08E-9,-0.005589623,0.0,0.0,0.0,0.025725941,15.16436509
0.9,-2.51E-11,0.001868655,28.79343118,29987.04247,1.52E-9,-1.74E-19,32.10657588,-1.23E-25,-1.68E-19,-0.003760268,0.0,0.0,0.0,-1727.605871,994.9049137,8.91371E-4,630.2220322,411.8853419,-2.49E-9,5.18E-9,-0.007094752,0.0,0.0,0.0,0.028940888,17.05964156
