time,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N
0.0,2.095564632546E7,-4.0E-16,-2.0E-16,0.0,0.0,-0.0,30000.0000006854,0.0,0.0,32.1065359518416,0.0,994.849129860398,8.906860665458E-4,629.668577032426,411.838216574779,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.09556461654845E7,-1.56163203542E-5,-2.0E-16,-4.0E-16,2.33311710863E-5,3.1995074750576333,29999.8400252386,-4.26973E-11,0.0,32.1065364428368,-191.970448503458,994.849816942495,8.906913024642E-4,629.673148306937,411.838785438448,0.0,6.527501E-10,-8.95145087884E-5,0.0,0.0,0.0
0.2,2.09556456855591E7,-2.65664166363E-5,0.0,-9.0E-16,9.33243594519E-5,6.398997144949183,29999.360099785,-7.26364E-11,0.0,32.1065379158198,-383.939828696951,994.851878181954,8.907070103303E-4,629.686862265191,411.840492026157,0.0,5.2220673E-9,-3.580623571318E-4,0.0,0.0,0.0
0.3,2.09556448856863E7,-2.81841300307E-5,-2.0E-16,-1.8E-15,2.099785917699E-4,9.598451203942135,29998.5602269955,-7.70595E-11,0.0,32.1065403707827,-575.907072236528,994.855313559527,8.907331904864E-4,629.709719319663,411.84333632904,0.0,1.76248526E-8,-8.056565108889E-4,0.0,0.0,0.0
0.4,2.09556437658706E7,-1.57848195386E-5,0.0,-1.8E-15,3.732922446973E-4,12.79785184488975,29997.4404113255,-4.3158E-11,0.0,32.106543807712,-767.871110693385,994.860123042112,8.907698434952E-4,629.741720151004,411.847318331477,0.0,4.17786743E-8,-0.0014323185794985,0.0,0.0,0.0
0.5,2.09556423261183E7,1.52601226091E-5,0.0,-1.8E-15,5.832630457014E-4,15.9971812583664,29996.0006590038,4.17234E-11,0.0,32.1065482265891,-959.830875501984,994.86630658347,8.90816970145E-4,629.782865712847,411.852438011684,0.0,8.16021019E-8,-0.0022380788154218,0.0,0.0,0.0
0.6,2.09556405664373E7,6.96348809015E-5,0.0,-7.1E-15,8.398880733927E-4,19.196421631802664,29994.2409780398,1.903919E-10,0.0,32.1065536273901,-1151.78529790816,994.873864124102,8.908745714494E-4,629.83315723098,411.858695341612,0.0,1.410150397E-7,-0.0032229761133237,0.0,0.0,0.0
0.7,2.09556384868375E7,1.520233138308E-4,-2.0E-16,-3.6E-15,0.0011431637557741,22.395555148621334,29992.1613782346,4.15654E-10,0.0,32.1065600100856,-1343.73330891728,994.882795591392,8.909426486476E-4,629.892596204323,411.866090287062,0.0,2.239390607E-7,-0.0043870580089986,0.0,0.0,0.0
0.8,2.09556360873304E7,2.67053051175E-4,-4.0E-16,-7.1E-15,0.0014930858718626,25.594563987371664,29989.7618711665,7.301622E-10,0.0,32.106567374641,-1535.6738392423,994.893100899369,8.910212032033E-4,629.961184403365,411.874622807489,0.0,3.342977396E-7,-0.0057303806780268,0.0,0.0,0.0
0.9,2.09556333679295E7,4.193884901724E-4,-7.0E-16,-7.1E-15,0.0018896495498621,28.793430320866165,29987.0424701869,1.1466697E-9,0.0,32.1065757210163,-1727.60581925197,994.904779948965,8.91110236806E-4,630.038923871905,411.884292856215,0.0,4.760169873E-7,-0.0072530089341846,0.0,0.0,0.0
