time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2,trueAirspeed_nmi_h,feVelocity_ft_s_Z
10.609999656677246,2.095384966198088E7,16217.555174880988,1.1083823630324587E-13,2.0953855937892664E7,5.696718863879141,1.1083823630324587E-13,-336.8256764855959,1529.1815071366168,2.0763320148283453E-14,2.1117250768541128E-16,1.462468554282004,335.64204234081615,28209.61243412271,1.557698730678846E-5,3.030737238851197E-19,32.11203169937966,-1.8172674120291655E-18,1.2722218975584922E-14,-0.04434494353037797,0.0,0.0,6.718855644083851E-19,-20138.52254044897,1002.5094661610683,9.507825376632766E-4,682.543170250171,418.20589829163987,1.2601845790887135E-16,0.2022010035347021,-1.0698628057623567,-0.0,0.0,0.0,0.34067922830581665,55.45228576660156,202.35345458984375,335.64204234081615
10.619999885559082,2.0953846292172037E7,16232.846998821982,1.1104596365952722E-13,2.095385257992575E7,5.7113551560378255,1.1104596365952724E-13,-337.1360878223997,1529.1832813164433,2.0782101464936873E-14,2.1101505872892117E-16,1.4649730626185449,335.9513358550456,28206.254467211664,1.5617010976527575E-5,3.036417778251036E-19,32.11204200827216,6.420498741114513E-19,6.361110089198372E-15,-0.04438676429537011,0.0,0.0,6.718855644083851E-19,-20157.080151302736,1002.5237804065785,9.50898096907073E-4,682.6456211377782,418.21784101106846,1.52060876295094E-16,0.20236558855045927,-1.0719247357214845,-0.0,0.0,-0.0,0.34097522497177124,55.557029724121094,202.53216552734375,335.9513358550456
10.630000114440918,2.095384291925919E7,16248.13884051183,1.1125388043424832E-13,2.095384921886601E7,5.726016500455444,1.1125388043424834E-13,-337.4464786315958,1529.185056907407,2.0801381902032293E-14,2.113579875375422E-16,1.4674796444364104,336.2606088356304,28202.893407475203,1.5657103163793466E-5,3.0421034993398935E-19,32.11205232666454,3.745738548613059E-18,6.3611112944119794E-15,-0.04442858512887977,0.0,0.0,6.718855644083851E-19,-20175.636530137825,1002.538107636045,9.510137733824655E-4,682.7481788888924,418.22979473407804,1.9097929103933978E-16,0.20253012475208276,-1.0739889184489853,-0.0,0.0,0.0,0.34127122163772583,55.661888122558594,202.71087646484375,336.2606088356304
10.640000343322754,2.0953839543242533E7,16263.430699964643,1.1146198940072829E-13,2.0953845854713637E7,5.74070291785938,1.1146198940072831E-13,-337.756848890747,1529.1868339090186,2.0820515228059267E-14,2.1155506397500456E-16,1.4699882991715159,336.5698612601287,28199.529255107045,1.5697263925313257E-5,3.0477944779558394E-19,32.11206265455624,4.3808238461787715E-18,1.2722221385073637E-14,-0.0444704060309637,0.0,0.0,6.718855644083851E-19,-20194.19167560772,1002.5524478480978,9.511295671133101E-4,682.8508435333044,418.2417594599902,1.2335591106755084E-16,0.2026946120386706,-1.0760553548019531,-0.0,0.0,0.0,0.34156718850135803,55.76686096191406,202.88958740234375,336.5698612601287
10.649999618530273,2.0953836164122276E7,16278.722577194525,1.1167028912820746E-13,2.095384248746884E7,5.755414428962467,1.1167028912820746E-13,-338.0671985774075,1529.1886123207878,2.083944956979993E-14,2.1155441619814881E-16,1.4724990262565936,336.8790931060895,28196.16201031208,1.5737493317774385E-5,3.053490674981482E-19,32.112072991946626,7.482190981391745E-18,1.2722222593548172E-14,-0.04451222700167858,0.0,0.0,6.718855644083851E-19,-20212.74558636537,1002.5668010413194,9.512454781231086E-4,682.9536151005007,418.25373518808686,1.2816344221300754E-16,0.20285905030934792,-1.0781240456377112,-0.0,0.0,0.0,0.34186315536499023,55.871952056884766,203.0682830810547,336.8790931060895
10.65999984741211,2.095383278189863E7,16294.014472215571,1.118787779066715E-13,2.0953839117131833E7,5.770151054477537,1.1187877790667152E-13,-338.3775276691231,1529.1903921422231,2.085807277702551E-14,2.1124389535340095E-16,1.4750118251246045,337.1883043510544,28192.7916733101,1.5777791397864347E-5,3.0591920436635206E-19,32.112083338835035,-1.840482676715386E-18,1.2722218972247622E-14,-0.04455404804108107,0.0,0.0,6.718855644083851E-19,-20231.298261063264,1002.581167214228,9.513615064348763E-4,683.0564936195462,418.265721917597,1.4579510738907298E-16,0.2030234394632659,-1.080194991813674,-0.0,0.0,0.0,0.34215909242630005,55.97715377807617,203.24697875976562,337.1883043510544
10.670000076293945,2.0953829396571793E7,16309.306385041878,1.1208745230477757E-13,2.0953835743702818E7,5.784912815117423,1.120874523047776E-13,-338.68783614343084,1529.1921733728327,2.0876932770510216E-14,2.1117142359070273E-16,1.477526695207602,337.4974949725557,28189.418244298548,1.5818158222270765E-5,3.0648984901809427E-19,32.11209369522089,-1.8451257526672786E-18,1.2722218971945343E-14,-0.04459586914922788,0.0,0.0,6.718855644083851E-19,-20249.849698353344,1002.595546365437,9.514776520724287E-4,683.1594791202257,418.27771964782903,1.1631473842676493E-16,0.20318777939950827,-1.0822681941887258,-0.0,0.0,0.0,0.3424549996852875,56.08246994018555,203.42567443847656,337.4974949725557
10.680000305175781,2.0953826008141976E7,16324.598315687534,1.1229631509479719E-13,2.0953832367181998E7,5.799699731573128,1.1229631509479721E-13,-338.9981239778594,1529.193956012123,2.089555785935952E-14,2.108653113918065E-16,1.480043635935365,337.8066649481173,28186.04172348231,1.5858593847621667E-5,3.0706100903431883E-19,32.11210406110356,1.2562413594955732E-18,1.2722220180807821E-14,-0.04463769032617564,0.0,0.0,6.718855644083851E-19,-20268.39989688704,1002.6099384935275,9.515939150593524E-4,683.2625716321302,418.2897283780649,9.963225767766724E-17,0.2033520700171723,-1.0843436536221163,-0.0,0.0,0.0,0.3427508771419525,56.187904357910156,203.60435485839844,337.8066649481173
10.6899995803833,2.095382261660938E7,16339.890264166625,1.125053638478264E-13,2.0953828987569574E7,5.81451182454839,1.1250536384782643E-13,-339.3083911499284,1529.1957400595998,2.091431728750224E-14,2.1069480406233173E-16,1.4825626467379018,338.1158142552543,28182.66211106628,1.589909833057999E-5,3.076326777739726E-19,32.112114436482436,1.2515982678189608E-18,1.2722220181635725E-14,-0.04467951157198101,0.0,0.0,6.718855644083851E-19,-20286.94885531526,1002.6243435970798,9.517102954192627E-4,683.3657711848862,418.30174810758666,1.561153623707769E-16,0.20351631121534108,-1.0864213709737336,-0.0,0.0,-0.0,0.34304675459861755,56.29344940185547,203.7830352783203,338.1158142552543
10.699999809265137,2.095381922197422E7,16355.18223049323,1.1271460067361253E-13,2.0953825604865767E7,5.829349114726938,1.1271460067361255E-13,-339.6186376371494,1529.1975255147677,2.0933159754060137E-14,2.1060860210135579E-16,1.4850837270427202,338.42494287147326,28179.279407262802,1.5939671727754045E-5,3.082048610064084E-19,32.11212482135689,1.246955168779901E-18,1.2722220181721392E-14,-0.0447213328867006,0.0,0.0,6.718855644083851E-19,-20305.496572288397,1002.6387616746428,9.51826793175548E-4,683.4690778079291,418.3137788356497,2.2576328764057096E-16,0.20368050289311188,-1.0885013471038323,-0.0,0.0,-0.0,0.3433426022529602,56.399112701416016,203.9617156982422,338.42494287147326
