time,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N
0.0,2.095564632546E7,-4.0E-16,-2.0E-16,0.0,0.0,-0.0,30000.0000006854,0.0,0.0,32.1065359518416,0.0,994.849129860398,8.906860665458E-4,629.668577032426,411.838216574779,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.09556461654845E7,-1.12428769512E-5,-2.0E-16,-4.0E-16,2.33311717494E-5,3.1995074744198004,29999.8400252386,-3.07397E-11,0.0,32.1065364428368,-191.970448465188,994.849816942495,8.906913024642E-4,629.673148306937,411.838785438448,3.16E-14,0.0428914261085986,-0.0019598362254575,0.0,0.0,0.0
0.2,2.09556456855713E7,1.968147094544E-4,0.0,-1.8E-15,0.0043881513458884,6.398723488495933,29999.3601120486,5.3812E-10,0.0,32.1065379157822,-383.923409309756,994.851878123043,8.907070098814E-4,629.686861873236,411.840491977381,3.17E-14,0.0430190715709219,-0.0039314765773421,0.0,0.0,0.0
0.3,2.09556448857464E7,8.444725156664E-4,-2.0E-16,-1.8E-15,0.0088168063455354,9.597741309259566,29998.5602871477,2.3089106E-9,0.0,32.1065403705981,-575.864478555574,994.855313295516,8.907331884744E-4,629.70971756305,411.843336110453,3.19E-14,0.0432343663263216,-0.0059270744666932,0.0,0.0,0.0
0.4,2.09556437660298E7,0.0019385683366409,-2.0E-16,-1.8E-15,0.0133179879984258,12.796558042147332,29997.4405704848,5.3003279E-9,0.0,32.1065438072235,-767.79348252884,994.860122353358,8.907698382461E-4,629.741715568141,411.847317761223,3.21E-14,0.0435359468111151,-0.0079584807941657,0.0,0.0,0.0
0.5,2.09556423264416E7,0.0034867456404299,-4.0E-16,-3.6E-15,0.0179002270702064,15.9951696239533,29996.0009823739,9.5332706E-9,0.0,32.1065482255967,-959.710177437198,994.866305189939,8.908169595243E-4,629.782856439958,411.852436857903,3.24E-14,0.0439219707272762,-0.0100371941646107,0.0,0.0,0.0
0.6,2.09556405670028E7,0.0054975468209477,-2.0E-16,-7.1E-15,0.0225718478051969,19.193570862952,29994.2415435724,1.50310953E-8,0.0,32.1065536256544,-1151.61425177712,994.873861691033,8.908745529047E-4,629.833141039584,411.858693327124,3.27E-14,0.0443901683321521,-0.0121742669280608,0.0,0.0,0.0
0.7,2.09556384877347E7,0.0079803346634435,0.0,-3.6E-15,0.0273409280677157,22.391755487596168,29992.1622754186,2.18194018E-8,0.0,32.106560007332,-1343.50532925577,994.882791734358,8.909426192476E-4,629.892570534641,411.866087093557,3.31E-14,0.0449379024761992,-0.0143802279583664,0.0,0.0,0.0
0.8,2.09556360886592E7,0.0109452101366969,-4.0E-16,-3.6E-15,0.0322152657843872,25.589716202025333,29989.7631999328,2.99258082E-8,0.0,32.1065673705628,-1535.38297212152,994.893095189193,8.910211596745E-4,629.961146396738,411.874618079591,3.36E-14,0.0455622338974553,-0.0166650236805515,0.0,0.0,0.0
0.9,2.09556333697992E7,0.0144030760582154,0.0,-7.1E-15,0.0372023520430374,28.78744474654083,29987.0443399176,3.93801254E-8,0.0,32.1065757152777,-1727.24668479245,994.904771915932,8.911101755646E-4,630.038870398501,411.884286204965,3.41E-14,0.0462599883546456,-0.0190379776188276,0.0,0.0,0.0
1.0,2.09556303311783E7,0.0183656053454797,0.0,-3.6E-15,0.0423093508744438,31.984931961221665,29984.0057190321,5.02142698E-8,0.0,32.1065850414054,-1919.0959176733,994.917821765657,8.912096685521E-4,630.125744610725,411.89509138641,3.46E-14,0.0470278225345502,-0.0215077676554547,0.0,0.0,0.0
1.1,2.09556269728212E7,0.0228451331149699,2.0E-16,-7.1E-15,0.0475430854525293,35.18216785099166,29980.6473619006,6.24619684E-8,0.0,32.1065953488714,-2110.9300710595,994.932244579753,8.913196405229E-4,630.221771399842,411.907033537329,3.53E-14,0.0478622862147128,-0.0240824193494885,0.0,0.0,0.0
1.2,2.09556232947535E7,0.0278546035463023,0.0,-7.1E-15,0.0529100302568277,38.379141650635,29976.9692941941,7.61586139E-8,0.0,32.1066066375985,-2302.7484990381,994.948040189658,8.914400936123E-4,630.326953426263,411.920112567587,3.59E-14,0.0487598788059636,-0.0267693130999723,0.0,0.0,0.0
1.3,2.0955619297002E7,0.0334077209668066,0.0,-1.42E-14,0.0584163085497692,41.575841888504,29972.9715426936,9.13416773E-8,0.0,32.1066189075061,-2494.55051331024,994.965208416398,8.915710302021E-4,630.441293641337,411.934328383128,3.66E-14,0.0497170990559394,-0.029575202644652,0.0,0.0,0.0
1.4,2.09556149795946E7,0.0395186542236842,-2.0E-16,-1.42E-14,0.0640676944617087,44.77225644791117,29968.6541353389,1.080498998E-7,0.0,32.1066321585099,-2686.33538687467,994.983749070514,8.917124529197E-4,630.564795286867,411.949680885903,3.74E-14,0.0507304872980418,-0.0325062423268339,0.0,0.0,0.0
1.5,2.09556103425606E7,0.0462022253873328,-2.0E-16,-7.1E-15,0.0698696189197531,47.96837262545667,29964.0171013474,1.26323809E-7,0.0,32.1066463905223,-2878.1023575274,995.003661951554,8.918643646342E-4,630.697461891776,411.966169973455,3.81E-14,0.0517966601394608,-0.035568020686584,0.0,0.0,0.0
1.6,2.09556053859305E7,0.053473671121992,-2.0E-16,-7.1E-15,0.0758271786862063,51.1641771857675,29959.0604712031,1.462050661E-7,0.0,32.1066616034515,-3069.85063114605,995.024946848008,8.920267684558E-4,630.839297271738,411.983795538856,3.9E-14,0.052912337874477,-0.0387655981803465,0.0,0.0,0.0
