time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2
0.0,2.09556463255E7,0.0,0.0,0.0,1528.10982905,0.0,0.0,0.0,-0.0,30000.0,0.0,0.0,32.1065359519,0.0,0.0,0.0,0.0,0.0,0.0,994.849493459,8.90685451211E-4,629.673709538,411.838873082,-0.0,0.0428469914497,-0.0,0.0,0.0,0.0,0.0703624020118,2.18217935547
0.1,2.09556461649E7,152.811196778,0.0,-3.21055566109,1528.11410326,0.0,0.0,0.00430924682471,3.19941246155,29999.8400277,5.87953029416E-10,0.0,32.10653644285363,0.0,0.0,-4.17808001177E-4,0.0,0.0,0.0,994.850180522,8.90690687028E-4,629.678280757,411.839441931,-0.0,0.0428861260947,-0.00195996939242,0.0,0.0,0.0,0.0704310006253,2.18645225886
0.2,2.09556456834E7,305.622820149,0.0,-6.42091493157,1528.1183624,0.0,0.0,0.00867349203099,6.39862843824,29999.3601241,2.36143395571E-9,0.0,32.10653791571455,0.0,0.0,-8.35617187882E-4,0.0,0.0,0.0,994.852241654,8.90706394194E-4,629.691994202,411.841148432,-0.0,0.0430137267565,-0.00393180331978,0.0,0.0,0.0,0.0706449516974,2.19980408975
0.3,2.09556448808E7,458.434869048,0.0,-9.63107611655,1528.12261527,0.0,0.0,0.0131015387203,9.59764623438,29998.5603087,5.33668559517E-9,0.0,32.10654037058275,0.0,0.0,-0.00125342757636,0.0,0.0,0.0,994.85567676,8.90732572488E-4,629.714849794,411.843992513,-0.0,0.0432289472922,-0.00592759969769,0.0,0.0,0.0,0.0710029022067,2.22223357253
0.4,2.09556437571E7,611.247343285,0.0,-12.8410363226,1528.12687059,0.0,0.0,0.017602079087,12.7964629554,29997.4406015,9.53234373792E-9,0.0,32.10654380715827,0.0,0.0,-0.00167123918524,0.0,0.0,0.0,994.860485742,8.90769221966E-4,629.746847771,411.847974106,-0.0,0.0435304231219,-0.00795921198105,0.0,0.0,0.0,0.0715026480116,2.25374004752
0.5,2.09556423126E7,764.060243531,0.0,-16.0507914878,1528.13113687,0.0,0.0,0.022183644378,15.995074538,29996.0010229,1.49693998967E-8,0.0,32.1065482254411,0.0,0.0,-0.00208905203552,0.0,0.0,0.0,994.866668492,8.90816342955E-4,629.787988685,411.853093138,-0.0,0.0439163105503,-0.0100381412129,0.0,0.0,0.0,0.0721411982854,2.29432345733
0.6,2.0955640547E7,916.873571303,0.0,-19.2603364216,1528.13542246,0.0,0.0,0.0268545594132,19.1934757897,29994.2415936,2.16711509666E-8,0.0,32.106553625531284,0.0,0.0,-0.0025068661505,0.0,0.0,0.0,994.874224897,8.90873936052E-4,629.838273396,411.859349535,-0.0,0.0443843380811,-0.0121754420354,0.0,0.0,0.0,0.0729148596615,2.3439843336
0.7,2.09556384605E7,1069.68732894,0.0,-22.4696648536,1528.13973544,0.0,0.0,0.0316229027008,22.3916604384,29992.162335,2.96631372013E-8,0.0,32.10656000712883,0.0,0.0,-0.00292468155571,0.0,0.0,0.0,994.883154833,8.90942002116E-4,629.897703073,411.866743222,-0.0,0.0449318664874,-0.0143816454465,0.0,0.0,0.0,0.0738193347756,2.4027237843
0.8,2.09556360531E7,1222.50151956,0.0,-25.6787694891,1528.14408361,0.0,0.0,0.036496472861,25.5896211869,29989.763269,3.89730701296E-8,0.0,32.10656737033374,0.0,0.0,-0.00334249827886,0.0,0.0,0.0,994.893458172,8.91020542269E-4,629.966279187,411.875274122,-0.0,0.045555954142,-0.0166666998116,0.0,0.0,0.0,0.0748498294669,2.47054348167
0.9,2.09556333247E7,1375.31614708,0.0,-28.8876420695,1528.14847447,0.0,0.0,0.0414827616999,28.7873497739,29987.0444185,4.96307521998E-8,0.0,32.10657571504607,0.0,0.0,-0.00376031634977,0.0,0.0,0.0,994.905134772,8.91109557891E-4,630.04400351,411.884942155,-0.0,0.0462534241868,-0.0190399304048,0.0,0.0,0.0,0.0760011630217,2.54744565076
