time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2
0.0,12962.1352593,-12962.1352593,2.08654785968E7,399.500846911,399.500846911,3.01174209516E-17,2.62824045556E-20,563.642781693,-2.36183386814E-18,10000.0,-45.0,89.95,32.226626416180665,90.0,2.68709893531,-1.7646129914E-11,1.95874406997E-4,-3.64605703606E-6,-0.00417347839725,1077.40438831,0.00175554979043,1455.6168276,483.025491153,-1141.57854832,4.49960868566E-5,-23266.3955655,-0.0236435232806,-42923.3713945,-9.59973963746E-5,0.523148771071,278.863102485
0.1,13002.0817728,-12922.1897331,2.08654785991E7,399.439474531,399.428450808,-0.0282188622154,-1.74864289854,563.545480288,0.0266928864681,10000.0024007,-44.8238472837,89.9499997607,32.22662640879895,90.1851073935,2.63882142195,-0.994224740394,-12.1676494556,-0.265078194063,-0.00350964845625,1077.40437877,0.00175554965813,1455.61669213,483.0254826,-1501.04791913,261.076428989,-19701.6997358,-2861.61648256,7281.41654432,-3243.37351121,0.523060983392,278.769494402
0.2,13042.0235282,-12882.2469326,2.0865478592E7,399.393605889,399.438140396,-0.100441278556,-3.44987415488,563.512051518,0.0974306757274,9999.99550058,-44.6477144463,89.9499990505,32.22662643004995,90.3447028513,2.63171277191,-2.19795011916,-11.92813936,0.0174683537534,-0.350314697775,1077.40440619,0.00175555003838,1455.6170815,483.025507184,-1412.59075453,352.071108237,-20251.772194,-2893.67823197,209.234139901,-4089.69020735,0.523037233588,278.744254247
0.3,13081.9594843,-12842.3001879,2.086547858E7,399.31831759,399.505873473,-0.138574403664,-5.08912632039,563.494302329,0.134133166873,9999.98390362,-44.4715922005,89.9499978844,32.2266264657263,90.4676563626,2.63158049325,-3.37814618695,-11.5978217032,0.0298327902034,-0.712128046971,1077.40445227,0.00175555067747,1455.61773591,483.025548501,-1409.74896038,321.650103834,-20284.1942121,2123.20049575,48.0671732842,-3583.88254279,0.523032272171,278.739091372
0.4,13121.8855041,-12802.3439038,2.08654785643E7,399.192867698,399.629310805,-0.176867262097,-6.65339760652,563.476645333,0.171060711396,9999.96864322,-44.2954802114,89.9499962811,32.22662651271871,90.5579990289,2.63016253068,-4.51700880651,-11.1644648466,0.0608810396549,-0.98564081913,1077.40451291,0.00175555151845,1455.61859705,483.02560287,-1410.34305043,213.680916135,-20312.1976798,5878.44531072,174.102557461,-2192.61242542,0.523030991649,278.737891419
0.5,13161.7961446,-12762.372389,2.08654785447E7,399.010374508,399.810587818,-0.213960554356,-8.1362720448,563.456516382,0.206859582453,9999.94972992,-44.1193805033,89.9499942622,32.226626570916586,90.6275814484,2.62877032144,-5.60633836282,-10.6630807607,0.0966610215969,-1.1180770805,1077.40458806,0.00175555256073,1455.61966432,483.025670253,-1408.02154116,81.4119801175,-20367.7475868,7304.80097991,119.877993929,-559.337200351,0.52303034638,278.737408029
0.6,13201.6857016,-12722.3799082,2.08654785215E7,398.771852651,400.047927198,-0.248656095784,-9.53969735048,563.434092481,0.24032987498,9999.92734813,-43.9432952642,89.9499918499,32.226626639909014,90.6907212836,2.62798732126,-6.64497187908,-10.1651943811,0.124578681747,-1.11356280264,1077.40467699,0.00175555379415,1455.62092732,483.025749993,-1404.37526189,-26.3284816492,-20435.8211025,6539.83879745,5.69284577336,736.412049129,0.523029934744,278.737211136
0.7,13241.5488354,-12682.3611295,2.08654784951E7,398.483124452,400.335299885,-0.280750501101,-10.8720344625,563.409781258,0.271260890747,9999.90174862,-43.7672264921,89.9499890647,32.22662671868582,90.7590502554,2.6280521908,-7.63795364839,-9.72840404964,0.140030741871,-1.01920537817,1077.40477871,0.0017555552049,1455.62237189,483.025841198,-1400.43455591,-79.7475243016,-20504.1309093,4392.67880197,-110.631078019,1355.02254261,0.523029733981,278.737273773
0.8,13281.3809108,-12642.3114457,2.08654784655E7,398.151984011,400.664684883,-0.310933492954,-12.1444486692,563.383803711,0.300332594509,9999.87315858,-43.5911760147,89.9499859245,32.22662680673818,90.8384026248,2.62883509124,-8.59383382184,-9.38058209767,0.144867626763,-0.900098506902,1077.40489231,0.00175555678046,1455.62398522,483.025943057,-1397.26767863,-73.4616398323,-20562.405349,1939.33443386,-171.928946667,1253.90541007,0.523029705009,278.73755183
0.9,13321.1780568,-12602.2270414,2.08654784329E7,397.785531334,401.028653677,-0.340566516842,-13.3671938593,563.356196424,0.328897470621,9999.84169974,-43.4151455639,89.9499824442,32.2266269035588,90.9282728493,2.62992804855,-9.52133117418,-9.11593141333,0.146014931013,-0.814111226308,1077.4050173,0.00175555851411,1455.62576044,483.026055137,-1395.48181208,-22.7199435242,-20606.82946,112.592945806,-148.750066223,634.397061884,0.523029731605,278.737920114
1.0,13360.9369961,-12562.1047308,2.08654783973E7,397.388339791,401.422257882,-0.371130465359,-14.5469816946,563.326945635,0.35843054315,9999.80734724,-43.2391368232,89.9499786363,32.226627009341485,91.0234386432,2.6308550042,-10.4265611319,-8.90344826256,0.151909974178,-0.794701327077,1077.4051538,0.00175556040722,1455.62769895,483.026177526,-1394.99464197,46.2224948608,-20641.0084011,-572.66207003,-50.5913005529,-179.382854332,0.523029662651,278.738217824
