time,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,trueAirspeed_nmi_h
0.0,3.45E-14,563.6364851,0.0,10000.0,-45.0,89.95,32.22662745013161,90.0,2.68912966,-0.083428335,0.0,0.0,0.0,0.0,1077.403467,0.001755555,1455.603646,483.0254287,-1399.276938,3.557407818,-20510.88319,3.7E-7,23218.32164,4.026985319,0.523143374,333.9454865
0.1,-1.756159145,563.6337538,-0.001541611,10000.00008,-44.8232389,89.94999976,32.22662745013161,90.16159479,2.689113304,-0.964135173,-15.609358101819845,-5.786873730812999E-4,-0.28472060468330507,0.092496678,1077.403467,0.001755555,1455.603642,483.0254284,-1399.605424,89.51571486,-20508.13753,-538.9781142,23237.87411,-312.3125176,0.523143379,333.9454892
0.2,-3.428548359,563.6259604,-0.001346002,10000.00023,-44.6464809,89.94999905,32.22662745013161,90.31349767,2.688833995,-2.177576445,-10.938700063702706,0.0050764060648518,-0.26516206009296783,0.080760116,1077.403466,0.001755555,1455.603633,483.0254279,-1400.099087,192.5724934,-20504.73908,-2653.45131,23257.37498,-619.0435235,0.523143285,333.9454291
0.3,-5.057306659,563.6135286,4.91376E-4,10000.0003,-44.4697293,89.94999789,32.22662745013161,90.45851834,2.68838867,-3.343379756,-11.539712909158586,0.013821403596141478,-0.36827148760878314,-0.029482562,1077.403466,0.001755555,1455.603629,483.0254277,-1400.765399,248.9423682,-20500.74604,1778.735727,23285.06363,-856.4590827,0.523143127,333.9453281
0.4,-6.630524892,563.5969807,0.005076585,10000.00005,-44.2929869,89.94999629,32.22662745013161,90.5934931,2.687742719,-4.471191491,-11.17157234240599,0.027191144562381975,-0.4803772692406117,-0.304595114,1077.403467,0.001755555,1455.603644,483.0254286,-1401.316873,317.1444213,-20499.76435,118.2489613,23308.54133,-1033.160146,0.523142908,333.9451886
0.5,-8.148173602,563.5768042,0.012826278,9999.999178,-44.1162566,89.94999426,32.22662746013161,90.71605766,2.68682789,-5.577537336,-10.865463910779836,0.04634013892076024,-0.608880128940809,-0.769576701,1077.40347,0.001755555,1455.603693,483.0254317,-1401.885399,350.7154962,-20503.32639,603.0241449,23348.00157,-1115.927279,0.523142648,333.9450239
0.6,-9.607777576,563.553525,0.023837825,9999.997371,-43.9395409,89.94999183,32.22662746013161,90.82532706,2.685680214,-6.651841031,-10.555738224705687,0.07099875273288811,-0.7420381561348786,-1.430269528,1077.403477,0.001755555,1455.603795,483.0254381,-1402.129655,362.5129999,-20515.27693,559.440012,23391.03193,-1112.316989,0.52314238,333.9448548
0.7,-11.00720141,563.5276786,0.037914299,9999.994307,-43.762842,89.94998901,32.226627470131604,90.92126719,2.684354098,-7.694034237,-10.209459320992512,0.10030325212260709,-0.8692979838985414,-2.274857936,1077.40349,0.001755555,1455.603968,483.025449,-1401.899376,351.1381357,-20537.79726,602.377359,23436.63358,-1030.101507,0.523142142,333.9447071
0.8,-12.34491249,563.4997881,0.054613211,9999.9897,-43.5861621,89.94998581,32.226627480131604,91.00480632,2.682938621,-8.701506634,-9.849355232161749,0.13266201763082555,-0.9826591160594997,-3.276792681,1077.403508,0.001755556,1455.604228,483.0254654,-1401.071869,321.100232,-20572.04787,626.749799,23482.35801,-886.2220617,0.523141974,333.9446054
0.9,-13.62015529,563.4703432,0.073379185,9999.983315,-43.409503,89.94998226,32.226627500131606,91.07758425,2.681535823,-9.672763809,-9.477182417630146,0.16618457501251208,-1.0760814888372725,-4.40275107,1077.403533,0.001755556,1455.604588,483.0254882,-1399.602042,277.8544716,-20617.87887,634.7882709,23526.76008,-701.8340037,0.523141905,333.944569
1.0,-14.8331466,563.439781,0.093647146,9999.974974,-43.2328663,89.94997836,32.22662753013161,91.14171583,2.68024612,-10.60702796,-9.102742237215875,0.19896864709205556,-1.1463365423520822,-5.61882878,1077.403566,0.001755556,1455.605059,483.0255179,-1397.526058,227.5859599,-20673.88212,629.1273461,23569.61962,-499.8295756,0.523141951,333.944609
1.1,-15.9850931,563.4084725,0.114943335,9999.964552,-43.0562535,89.94997414,32.226627560131604,91.19952323,2.679154396,-11.5043873,-8.73470268292256,0.22940210252129867,-1.1928860973469624,-6.89660009,1077.403608,0.001755557,1455.605647,483.025555,-1394.94946,176.4811079,-20737.70522,608.7469904,23611.63475,-302.2060391,0.523142117,333.9447275
1.2,-17.07811347,563.3767157,0.136954351,9999.951962,-42.879666,89.94996962,32.22662760013161,91.25327872,2.678319791,-12.36578841,-8.381036519765216,0.2563837164180016,-1.2176305402368006,-8.217261041,1077.403658,0.001755558,1455.606357,483.0255999,-1392.028451,130.0332881,-20806.4364,576.7136849,23654.34389,-127.8287173,0.52314239,333.9449174
