time,eiPosition_ft_X,eiPosition_ft_Y,eiPosition_ft_Z,eiVelocity_ft_s_X,eiVelocity_ft_s_Y,eiVelocity_ft_s_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2
0.0,2.09256463255E7,0.0,0.0,1000.0,1525.92219455,1000.0,1000.0,0.0,-1000.0,0.0,0.0,0.0,32.1988102141,0.0,0.0,0.0,0.00417807413224,0.0,0.0,1116.45000305,0.00237689282456,2116.23841715,518.67,-33.0008018002,0.0,33.0008018002,0.0,0.0,0.0,1.26670568186,2376.89282456
0.1,2.09257460002E7,152.592219462,99.8356053734,993.503579108,1525.92219475,996.718175766,996.713403803,-0.0145129853233,-993.519493555,99.6755838559,-1.99008809432E-9,2.75197396066E-4,32.198502972424905,0.0,2.75197396066E-4,1.99011250569E-9,0.00417807413224,0.0,0.0,1116.06737208,0.00236996796457,2108.62686477,518.314542619,-32.6365474874,4.75214431171E-4,32.5316530566,0.0,0.0,0.0,1.26095343821,2346.88281004
0.2,2.09258450277E7,305.184438952,199.344838694,987.053701771,1525.92219501,993.472458199,993.462991649,-0.0288847385809,-987.085483659,198.705448576,-7.9345454651E-9,5.4949240432E-4,32.19819772539468,0.0,5.4949240432E-4,7.93455916415E-9,0.00417807413224,0.0,0.0,1115.68709354,0.00236310332592,2101.0866615,517.961391329,-32.2783382205,9.38481752464E-4,32.0705131677,0.0,0.0,0.0,1.25525026357,2317.38491963
0.3,2.09259434125E7,457.776658449,298.531280629,980.649575827,1525.92219482,990.262249537,990.248164642,-0.0431171140153,-980.697178991,297.094204081,-1.77948891178E-8,8.22895133708E-4,32.197894458902084,0.0,8.22895133708E-4,1.77948877359E-8,0.00417807413224,0.0,0.0,1115.30915206,0.002356298267,2093.61697946,517.610529626,-31.9260407811,0.00139010495966,31.6172045174,0.0,0.0,0.0,1.24959539635,2288.38784979
0.4,2.09260411591E7,610.368877883,397.39845273,974.290426628,1525.92219366,987.086965154,987.068337051,-0.0572119245533,-974.35380572,394.84638207,-3.15331476486E-8,0.00109541524362,32.19759315873996,0.0,0.00109541524362,3.15331488971E-8,0.00417807413224,0.0,0.0,1114.93353253,0.00234955215729,2086.21700546,517.261941284,-31.579525654,0.00183037810941,31.1715544177,0.0,0.0,0.0,1.24398809256,2259.88061108
0.5,2.09261382721E7,762.961097133,495.949818727,967.97549656,1525.92219106,983.946033194,983.922935944,-0.071170942937,-968.054607029,491.966437683,-4.91118612445E-8,0.00136706234121,32.197293811201305,0.0,0.00136706234121,4.91118850635E-8,0.00417807413224,0.0,0.0,1114.5602201,0.0023428643771,2078.88594071,516.915610353,-31.2386669046,0.00225958662908,30.7333949446,0.0,0.0,0.0,1.23842762527,2231.85251764
0.6,2.09262347557E7,915.55331603,594.188785788,961.704044567,1525.92218653,980.83889422,980.811400829,-0.084995902818,-961.798842644,588.45875126,-7.04941385266E-8,0.00163784582141,32.19699640257922,0.0,0.00163784582141,7.04941195189E-8,0.00417807413224,0.0,0.0,1114.18920018,0.00233623431736,2071.62300043,516.57152115,-30.9033420595,0.00267800761413,30.3025627796,0.0,0.0,0.0,1.23291328418,2204.29317717
0.7,2.09263306143E7,1068.14553436,692.118705745,955.475345707,1525.92217961,977.765000873,977.733183318,-0.0986884998126,-955.585788383,684.327629866,-9.56433723331E-8,0.00190777500647,32.19670091966693,0.0,0.00190777500647,9.56433458381E-8,0.00417807413224,0.0,0.0,1113.82045842,0.00232966137936,2064.42741361,516.229658254,-30.5734319931,0.00308591011378,29.8788990584,0.0,0.0,0.0,1.22744437515,2177.19248122
0.8,2.09264258522E7,1220.73775186,789.742876284,949.288690705,1525.92216984,974.723817545,974.687746797,-0.11225039253,-949.414735716,779.577308975,-1.24523523937E-7,0.0021768589433,32.19640734925779,0.0,0.0021768589433,1.24523517596E-7,0.00417807413224,0.0,0.0,1113.45398071,0.00232314497452,2057.2984226,515.8900065,-30.2488208174,0.00348355540551,29.4622492243,0.0,0.0,0.0,1.22202021979,2150.54059591
0.9,2.09265204734E7,1373.32996822,887.064542103,943.143385535,1525.92215679,971.714820057,971.674566102,-0.125683203559,-943.284991348,874.211953938,-1.570990662E-7,0.00244510671156,32.196115678345265,0.0,0.00244510671156,1.57099038359E-7,0.00417807413224,0.0,0.0,1113.0897532,0.00231668452419,2050.23528293,515.552550974,-29.9293957771,0.00387119725855,29.0524628881,0.0,0.0,0.0,1.21664015506,2124.32795297
