time,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,dynamicPressure_lbf_ft2,trueAirspeed_nmi_h
0.0,2.09256463253E7,0.0,0.0,999.999998322,0.0,-999.999998322,0.0,0.0,0.0,32.1988106712,0.0,-0.0,0.0,0.004178069999994026,0.0,0.0,59999.99989932,1116.45,0.0023769,2116.21662367,518.67,-33.0008944477,-0.0,33.0008944477,0.0,0.0,0.0,1.26670568319,2376.89999202,837.898624434
0.1,2.09257460017E7,-7.26902989651E-4,99.8355471251,996.712698702,-0.014525054366,-993.517537182,99.6765872799,-1.99029814369E-9,2.75197179574E-4,32.1985136411,-1.9362535018499327E-23,2.7335491385316253E-4,1.5686688121210503E-9,0.004178069999994026,0.0,0.0,59611.08091374,1116.06525292,0.00237021879715,2108.9514385,518.314598104,-32.6399125728,4.7565897976E-4,32.5349974847,0.0,0.0,0.0,1.26095414752,2347.12492661,833.806664438
0.2,2.09258450306E7,-0.0028981672583,199.344584342,993.460757742,-0.0288978813171,-987.081708628,198.706202891,-7.93529494179E-9,5.49491715021E-4,32.1982083285,-3.793146946019327E-23,5.458132436015152E-4,7.092036278563692E-9,0.004178069999994026,0.0,0.0,59224.93101348,1115.68300312,0.00236358096004,2101.73340952,517.961503019,-32.2846698519,9.39095021482E-4,32.0767841542,0.0,0.0,0.0,1.25525106045,2317.83926023,829.751209531
0.3,2.09259434177E7,-0.00649976149742,298.530664299,990.244136384,-0.0431312523617,-980.691329993,297.09451431,-1.77965167071E-8,8.22893437437E-4,32.1979049975,-5.684975717256803E-23,8.173847542736224E-4,1.6531628712226664E-8,0.004178069999994026,0.0,0.0,58841.508111,1115.30322873,0.00235698610879,2094.56212366,517.610694536,-31.9350489915,0.00139095875226,31.6260957591,0.0,0.0,0.0,1.24959577636,2289.03294562,825.731758655
0.4,2.09260411675E7,-0.0115178365469,397.397283394,987.062276903,-0.0572269710406,-974.345656837,394.84602917,-3.15359899169E-8,0.00109541202227,32.197603634,-7.539323715250402E-23,0.0010880790562968468,2.9849472590398326E-8,0.004178069999994026,0.0,0.0,58460.76753978,1114.92591234,0.00235043394125,2087.43725235,517.262156583,-31.5909334414,0.00183153204952,31.1827751101,0.0,0.0,0.0,1.24398759201,2260.69601957,821.747777295
0.5,2.09261382846E7,-0.017938721487,495.947882939,983.914633111,-0.0711868022909,-968.043960225,491.965181448,-4.91162304811E-8,0.00136705699256,32.1973042243,-9.556722683652256E-23,0.0013579056087202363,4.7008083822999304E-8,0.004178069999994026,0.0,0.0,58082.66556378,1114.55103684,0.00234392416022,2080.35847243,516.915873351,-31.2522096997,0.00226108894769,30.7466691118,0.0,0.0,0.0,1.23842581944,2232.81877889,817.798742511
0.6,2.09262347732E7,-0.025748919831,594.1858503,980.800670051,-0.0850124734357,-961.785526329,588.456332982,-7.05002332875E-8,0.00163783772208,32.1970067548,-1.154390652196352E-22,0.001626873722314227,6.797045729754089E-8,0.004178069999994026,0.0,0.0,57707.159353200004,1114.1785854,0.00233745647333,2073.32546595,516.571829287,-30.9187672177,0.00267989589366,30.3176286343,0.0,0.0,0.0,1.23290978559,2205.39177236,813.884142633
0.7,2.09263306376E7,-0.0349351058167,692.114519999,977.719863712,-0.0987056751537,-955.569656036,684.323774967,-9.56514620172E-8,0.00190776343839,32.1967112123,-1.365302660597542E-22,0.0018949925626216418,9.270005669583151E-8,0.004178069999994026,0.0,0.0,57334.2069612,1113.80854144,0.00233103059295,2066.33792016,516.23000909,-30.5904983078,0.0030882119931,29.89550839,0.0,0.0,0.0,1.22743883191,2178.40579282,810.00347698
0.8,2.0926425882E7,-0.0454841207921,789.737174796,974.67170074,-0.112268062417,-949.395664568,779.57172941,-1.2453383922E-7,0.00217684322582,32.1964175835,-1.5585601738513286E-22,0.0021622711529370726,1.2116080456742566E-7,0.004178069999994026,0.0,0.0,56963.76730122,1113.44088868,0.00232464623608,2059.39552731,515.890397708,-30.2672980545,0.00348628924749,29.4801668141,0.0,0.0,0.0,1.22201231399,2151.85186962,806.156255578
0.9,2.09265205107E7,-0.0573829696935,887.057046734,971.655678168,-0.125701255389,-943.262881121,874.204350531,-1.57111736644E-7,0.00244508602839,32.1961258557,-1.7089153654174845E-22,0.002428718377171668,1.5331707265998707E-7,0.004178069999994026,0.0,0.0,56595.80012471999,1113.07561108,0.00231830312428,2052.49798462,515.552980328,-29.9490642294,0.00387437278202,29.0714659499,0.0,0.0,0.0,1.21662960121,2125.72126137,802.341998894
1.0,2.09266145277E7,-0.070618817613,984.077318168,968.671303151,-0.139006840319,-937.170648503,968.225726169,-1.93349965809E-7,0.00271250065263,32.1958360162,-1.8452228941876671E-22,0.0026943429826720862,1.8913367249264334E-7,0.004178069999994026,0.0,0.0,56230.2660003,1112.71269286,0.00231200098352,2045.64499414,515.217742375,-29.6356972087,0.00425270106575,28.6692713379,0.0,0.0,0.0,1.21129007642,2100.00544884,798.560237567
1.1,2.09267079371E7,-0.085178986452,1080.80112276,965.718092705,-0.152186370382,-931.118322796,1061.6398791,-2.33213768815E-7,0.00297909577035,32.1955480524,-1.9705707148923857E-22,0.002959153582970693,2.285758461668887E-7,0.004178069999994026,0.0,0.0,55867.12629276,1112.35211849,0.00230573954419,2038.83626265,514.884669504,-29.3270998935,0.00462150612288,28.2734519092,0.0,0.0,0.0,1.20599313559,2074.69612826,794.81051216
1.2,2.09268007427E7,-0.101050951659,1177.23154644,962.795573462,-0.165241366509,-925.105273016,1154.45076835,-2.7666880939E-7,0.00324487992131,32.1952619521,-2.1491586356892145E-22,0.0032231586604326242,2.7160925741068084E-7,0.004178069999994026,0.0,0.0,55506.34314312,1111.99387269,0.00229951854089,2032.07150158,514.553747601,-29.0231776335,0.00498101373692,27.8838798827,0.0,0.0,0.0,1.20073818747,2049.78520474,791.092372915
1.3,2.09268929486E7,-0.118222339049,1273.37162837,959.903281426,-0.178173318193,-919.130880795,1246.6622905,-3.23681164151E-7,0.00350986151587,32.1949777032,-2.3218960756507987E-22,0.0034863665689028552,3.181999828396885E-7,0.004178069999994026,0.0,0.0,55147.87944918,1111.63794042,0.00229333771246,2025.35042694,514.224962771,-28.7238381529,0.00533144364702,27.5004306652,0.0,0.0,0.0,1.19552465333,2025.26478594,787.405379507
1.4,2.09269845585E7,-0.136680921701,1369.22436186,957.040761738,-0.190983684262,-913.194540066,1338.2782809,-3.74217314086E-7,0.00377404883751,32.1946952938,-2.4625679624418444E-22,0.003748785536192833,3.683145034431388E-7,0.004178069999994026,0.0,0.0,54791.698846800005,1111.28430688,0.00228719680181,2018.67275916,513.89830134,-28.4289914792,0.00567300973746,27.1229827561,0.0,0.0,0.0,1.19035196659,2001.12717608,783.749100822
1.5,2.09270755762E7,-0.156414616932,1464.79269527,954.207568448,-0.203673893637,-907.295656754,1429.3025149,-4.28244136249E-7,0.00403745004537,32.1944147122,-2.6579841521778416E-22,0.004010423666601494,4.2191969627421015E-7,0.004178069999994026,0.0,0.0,54437.765691600005,1110.93295749,0.00228109555589,2012.03822307,513.573749846,-28.1385498744,0.00600592022022,26.7514176548,0.0,0.0,0.0,1.18521957259,1977.36486996,780.123114727
1.6,2.09271660055E7,-0.177411483348,1560.07953289,951.403264298,-0.216245346065,-901.433648485,1519.73870902,-4.85728895653E-7,0.00430007317662,32.1941359469,-2.8522577265261015E-22,0.004271288943304498,4.789828263466903E-7,0.004178069999994026,0.0,0.0,54086.045041080004,1110.5838779,0.00227503372559,2005.44654779,513.251295038,-27.8524277685,0.0063303778109,26.3856197713,0.0,0.0,0.0,1.18012692827,1953.97054737,776.527007853
1.7,2.09272558499E7,-0.199659717963,1655.08773579,948.627420501,-0.228699412828,-895.607944299,1609.59052213,-5.46639237369E-7,0.00456192614889,32.1938589864,-3.0243443101528703E-22,0.004531389230703349,5.394715387310235E-7,0.004178069999994026,0.0,0.0,53736.50263752,1110.237054,0.00226901106564,1998.89746662,512.93092387,-27.5705416955,0.0066465798985,26.02547634,0.0,0.0,0.0,1.17507350188,1930.9370676,772.960375384
1.8,2.09273451132E7,-0.22314765339,1749.82012264,945.879616542,-0.241037437433,-889.817984371,1698.86155655,-6.10943178807E-7,0.00482301676254,32.1935838197,-3.2529252789033573E-22,0.0047907322767516145,6.033538508365689E-7,0.004178069999994026,0.0,0.0,53389.10489136,1109.89247188,0.0022630273346,1992.39071701,512.612623497,-27.2928102311,0.00695471870911,25.6708773367,0.0,0.0,0.0,1.17005877277,1908.25746415,769.422820856
1.9,2.09274337989E7,-0.2478637551,1844.27947057,943.159439966,-0.253260736285,-884.063219739,1787.55535917,-6.78609102196E-7,0.00508335270295,32.1933104357,-3.4779482297939504E-22,0.005049325715149344,6.705981448949673E-7,0.004178069999994026,0.0,0.0,53043.818865,1109.55011785,0.00225708229472,1985.92604043,512.296381274,-27.0191539337,0.00725498146382,25.321715398,0.0,0.0,0.0,1.16508223105,1885.92493963,765.913955951
2.0,2.09275219104E7,-0.27379661875,1938.46851593,940.466486191,-0.265370599337,-878.343112047,1875.67542252,-7.49605747232E-7,0.00534294154266,32.1930388236,-3.669618377095536E-22,0.00530717706758907,7.411731605999256E-7,0.004178069999994026,0.0,0.0,52700.6122569,1109.20997842,0.00225117571189,1979.50318231,511.982184747,-26.7494952858,0.00754755053112,24.9778857439,0.0,0.0,0.0,1.16014337742,1863.93286085,762.43340031
2.1,2.09276094511E7,-0.300934967566,2032.38995507,937.800358313,-0.277368290715,-872.657133285,1963.22518579,-8.23902203913E-7,0.0056017907436,32.1927689727,-3.748126192743061E-22,0.005564293745818453,8.150479879498277E-7,0.004178069999994026,0.0,0.0,52359.45338646,1108.87204033,0.0022453073556,1973.12189198,511.670021654,-26.483758639,0.00783260357377,24.6392861027,0.0,0.0,0.0,1.15524172286,1842.27475404,758.980781344
2.2,2.09276964246E7,-0.329267649798,2126.04644509,935.160666922,-0.289255049342,-867.004765545,2050.20803592,-9.01467905536E-7,0.00585990765911,32.1925008725,-3.8392461702705376E-22,0.005820683053800332,8.921920602421793E-7,0.004178069999994026,0.0,0.0,52020.3111792,1108.53629049,0.00223947699883,1966.78192259,511.359879917,-26.2218701592,0.00811031369094,24.3058166386,0.0,0.0,0.0,1.15037678842,1820.94430029,755.555734049
2.3,2.09277828341E7,-0.358783636232,2219.44060462,932.547029923,-0.30103208953,-861.385500781,2136.62730852,-9.82272621871E-7,0.00611729953605,32.1922345126,-3.9277627200695213E-22,0.006076352189632136,9.725751472439518E-7,0.004178069999994026,0.0,0.0,51683.15515224,1108.20271604,0.00223368441798,1960.48303099,511.051747645,-25.9637577756,0.00838084955499,23.9773798816,0.0,0.0,0.0,1.14554810499,1799.93533107,752.157900834
