time,gePosition_ft_X,gePosition_ft_Y,gePosition_ft_Z,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N
0.0,2.095564632546E7,-4.0E-16,-2.0E-16,0.0,0.0,-0.0,30000.0000006854,0.0,0.0,32.1065359518416,0.0,994.849129860398,8.906860665458E-4,629.668577032426,411.838216574779,2.6E-15,0.0034977165569211,0.0,0.0,0.0,0.0
0.1,2.09556461654854E7,1.909267894E-6,0.0,-4.0E-16,3.745824834679E-4,3.19948230114905,29999.8400261029,5.2202E-12,0.0,32.1065364428342,-191.968938068943,994.849816937919,8.906913024293E-4,629.673148276492,411.838785434659,2.6E-15,0.0035420881629116,-5.666000394311E-4,0.0,0.0,0.0
0.2,2.09556456855654E7,4.39771646938E-5,2.0E-16,-9.0E-16,8.04600140005E-4,6.398906282381317,29999.3601061701,1.2024E-10,0.0,32.1065379158003,-383.934376942879,994.851878153251,8.907070101116E-4,629.686862074217,411.840492002392,2.7E-15,0.0036722163997313,-0.0011748375934833,0.0,0.0,0.0
0.3,2.09556448857063E7,1.321632449276E-4,0.0,-1.8E-15,0.0012982305460416,9.598265972794733,29998.5602469854,3.613535E-10,0.0,32.1065403707213,-575.895958367684,994.855313472745,8.907331898251E-4,629.709718742252,411.843336257189,2.9E-15,0.0038794850064236,-0.0018617284273979,0.0,0.0,0.0
0.4,2.09556437659147E7,2.732143642561E-4,0.0,-3.6E-15,0.0018626208946253,12.797552056193332,29997.4404554255,7.470078E-10,0.0,32.1065438075766,-767.8531233716,994.860122852036,8.907698420466E-4,629.741718886266,411.847318174103,3.1E-15,0.004152372840115,-0.0026569163487693,0.0,0.0,0.0
0.5,2.09556423261987E7,4.744770116076E-4,0.0,-3.6E-15,0.002503726191902,15.996752643166216,29996.0007394179,1.2972893E-9,0.0,32.1065482263423,-959.805158589973,994.866306237607,8.90816967509E-4,629.782863411393,411.852437725325,3.3E-15,0.0044789248055347,-0.0035823254386813,0.0,0.0,0.0
0.6,2.09556405665675E7,7.438906683319E-4,4.0E-16,-3.6E-15,0.0032263537593485,19.195853992252,29994.2411082014,2.0339056E-9,0.0,32.1065536269906,-1151.75123953512,994.873863564777,8.908745671863E-4,629.833153508829,411.858694878512,3.6E-15,0.0048483391040518,-0.0046533359473401,0.0,0.0,0.0
0.7,2.09556384870317E7,0.0010898243726842,-2.0E-16,-3.6E-15,0.0040343174672239,22.3948410826375,29992.1615724302,2.9797392E-9,0.0,32.1065600094896,-1343.69046495825,994.882794757108,8.909426422883E-4,629.89259065192,411.8660895963,3.9E-15,0.0052516129840666,-0.005880429564544,0.0,0.0,0.0
0.8,2.09556360876036E7,0.0015209307689474,-2.0E-16,-1.07E-14,0.0049306229749392,25.5936980270855,29989.7621443234,4.1584476E-9,0.0,32.1065673738026,-1535.62188162513,994.893099726055,8.910211942591E-4,629.961176593852,411.874621836012,4.2E-15,0.0056815797935145,-0.0072706756394983,0.0,0.0,0.0
0.9,2.0955633368297E7,0.0020461671899739,0.0,-7.1E-15,0.0059176406055702,28.792408353868666,29987.0428377166,5.5945216E-9,0.0,32.1065757198883,-1727.54450123212,994.904778370411,8.911102247716E-4,630.038913363961,411.884291549192,4.5E-15,0.0061326697127643,-0.008828855220548,0.0,0.0,0.0
1.0,2.09556303291274E7,0.0026747395918392,2.0E-16,-3.6E-15,0.0069972495173401,31.990955194137833,29984.003668107,7.313132E-9,0.0,32.1065850477,-1919.45731164827,994.917830576334,8.912097357287E-4,630.125803267985,411.895098681635,4.9E-15,0.0066005980780067,-0.0105582396536468,0.0,0.0,0.0
1.1,2.0955626970112E7,0.00341598490877,2.0E-16,-7.1E-15,0.0081709513150198,35.1893214052685,29980.6446526944,9.3398073E-9,0.0,32.1065953571865,-2111.35928431611,994.932256217087,8.913197292608E-4,630.221848886306,411.90704317316,5.2E-15,0.0070820747752293,-0.0124611071282889,0.0,0.0,0.0
1.2,2.09556232912697E7,0.0042793192371846,-2.0E-16,-7.1E-15,0.0094399570857684,38.3874896521535,29976.9658104218,1.1700293E-8,0.0,32.1066066482909,-2303.24937912921,994.94805515295,8.914402077251E-4,630.327053073466,411.920124957543,5.6E-15,0.0075745651712114,-0.0145390792379864,0.0,0.0,0.0
