time,feVelocity_ft_s_X,feVelocity_ft_s_Y,feVelocity_ft_s_Z,altitudeMsl_ft,longitude_deg,latitude_deg,localGravity_ft_s2,eulerAngle_deg_Yaw,eulerAngle_deg_Pitch,eulerAngle_deg_Roll,bodyAngularRateWrtEi_deg_s_Roll,bodyAngularRateWrtEi_deg_s_Pitch,bodyAngularRateWrtEi_deg_s_Yaw,altitudeRateWrtMsl_ft_min,speedOfSound_ft_s,airDensity_slug_ft3,ambientPressure_lbf_ft2,ambientTemperature_dgR,aero_bodyForce_lbf_X,aero_bodyForce_lbf_Y,aero_bodyForce_lbf_Z,aero_bodyMoment_ftlbf_L,aero_bodyMoment_ftlbf_M,aero_bodyMoment_ftlbf_N,mach,trueAirspeed_nmi_h
0.0,3.67E-15,-9.39E-9,0.0,30000.0,0.0,0.0,32.10653699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.8492583,8.90951E-4,629.8546116,411.8392612,-1.75E-9,0.003498757,0.0,0.0,0.0,0.0,0.020103548,11.849676
0.1,1.77E-11,3.72311E-4,3.199482683,29999.84003,4.97E-11,-2.38E-19,32.10653738,-1.74E-25,-2.38E-19,-4.17807E-4,0.0,0.0,0.0,-191.968961,994.8499466,8.90956E-4,629.8591389,411.8398311,1.77E-9,0.003534738,-5.08905E-4,0.0,0.0,0.0,0.020358782,12.00012711
0.2,1.83E-11,8.00071E-4,6.398906765,29999.36011,2.09E-10,-2.37E-19,32.10653876,-1.74E-25,-2.38E-19,-8.35615E-4,0.0,0.0,0.0,-383.9344059,994.8520117,8.90972E-4,629.872771,411.8415408,1.83E-9,0.003656631,-0.001111414,0.0,0.0,0.0,0.021106609,12.44094663
0.3,1.93E-11,0.001291456,9.598266549,29998.56025,4.93E-10,-2.35E-19,32.10654111,-1.74E-25,-2.37E-19,-0.001253423,0.0,0.0,0.0,-575.8959929,994.8554451,8.90998E-4,629.8954474,411.8443835,1.93E-9,0.003856714,-0.001789206,0.0,0.0,0.0,0.022297476,13.14292891
0.4,2.07E-11,0.001853615,12.79755271,29997.44045,9.21E-10,-2.34E-19,32.10654445,-1.74E-25,-2.36E-19,-0.001671231,0.0,0.0,0.0,-767.8531628,994.8602553,8.91034E-4,629.9271791,411.8483661,2.06E-9,0.00412363,-0.002572724,0.0,0.0,0.0,0.023865095,14.06700804
0.5,2.23E-11,0.002492506,15.99675336,29996.00074,1.51E-9,-2.33E-19,32.10654877,-1.74E-25,-2.35E-19,-0.002089039,0.0,0.0,0.0,-959.8052016,994.866442,8.91081E-4,629.9680164,411.8534885,2.22E-9,0.004445371,-0.003484634,0.0,0.0,0.0,0.025740664,15.17263471
0.6,2.41E-11,0.003212938,19.19585474,29994.24111,2.29E-9,-2.32E-19,32.10655408,-1.74E-25,-2.34E-19,-0.002506847,0.0,0.0,0.0,-1151.751284,994.8739972,8.91138E-4,630.0178994,411.8597438,2.41E-9,0.00481097,-0.004540903,0.0,0.0,0.0,0.02786199,16.4231586
0.7,2.61E-11,0.004018725,22.39484182,29992.16157,3.28E-9,-2.31E-19,32.10656036,-1.74E-25,-2.34E-19,-0.002924655,0.0,0.0,0.0,-1343.690509,994.8829289,8.91205E-4,630.0768892,411.867139,2.61E-9,0.005211231,-0.005752433,0.0,0.0,0.0,0.030177214,17.78801954
0.8,2.83E-11,0.004912872,25.59369872,29989.76214,4.5E-9,-2.3E-19,32.10656763,-1.74E-25,-2.33E-19,-0.003342464,0.0,0.0,0.0,-1535.621923,994.8932372,8.91283E-4,630.1449367,411.875674,2.82E-9,0.005638804,-0.007126579,0.0,0.0,0.0,0.032645025,19.24287528
0.9,3.05E-11,0.005897753,28.79240894,29987.04284,5.97E-9,-2.29E-19,32.10657587,-1.74E-25,-2.32E-19,-0.003760273,0.0,0.0,0.0,-1727.544536,994.9049137,8.91371E-4,630.2220322,411.8853419,3.04E-9,0.006087968,-0.008668312,0.0,0.0,0.0,0.035233289,20.76879208
1.0,3.28E-11,0.006975245,31.99095562,29984.00367,7.73E-9,-2.27E-19,32.1065851,-1.74E-25,-2.31E-19,-0.004178082,0.0,0.0,0.0,-1919.457337,994.9179666,8.9147E-4,630.3082373,411.8961497,3.28E-9,0.006554318,-0.010381028,0.0,0.0,0.0,0.037917255,22.3511895
1.1,3.52E-11,0.008146851,35.1893216,29980.64465,9.8E-9,-2.26E-19,32.10659532,-1.74E-25,-2.3E-19,-0.004595891,0.0,0.0,0.0,-2111.359296,994.932396,8.91578E-4,630.4035031,411.9080974,3.52E-9,0.007034472,-0.012267087,0.0,0.0,0.0,0.040677889,23.97885622
1.2,3.77E-11,0.009413783,38.38748954,29976.96581,1.22E-8,-2.25E-19,32.10660651,-1.74E-25,-2.29E-19,-0.005013701,0.0,0.0,0.0,-2303.249372,994.9481935,8.91698E-4,630.5078204,411.921178,3.76E-9,0.007525822,-0.01432816,0.0,0.0,0.0,0.043500501,25.64314028
1.3,4.02E-11,0.010777027,41.58544196,29972.96716,1.5E-8,-2.24E-19,32.10661868,-1.74E-25,-2.28E-19,-0.005431511,0.0,0.0,0.0,-2495.126517,994.9653673,8.91827E-4,630.6212512,411.9353984,4.01E-9,0.00802635,-0.01656547,0.0,0.0,0.0,0.046373674,27.33732078
1.4,4.28E-11,0.012237396,44.78316127,29968.64873,1.81E-8,-2.23E-19,32.10663184,-1.74E-25,-2.27E-19,-0.005849322,0.0,0.0,0.0,-2686.989676,994.9839172,8.91967E-4,630.7437468,411.9507587,4.27E-9,0.00853448,-0.018979928,0.0,0.0,0.0,0.049288464,29.05613399
1.5,4.53E-11,0.013795564,47.98062981,29964.01054,2.17E-8,-2.22E-19,32.10664598,-1.74E-25,-2.26E-19,-0.006267132,0.0,0.0,0.0,-2878.837789,995.0038351,8.92118E-4,630.8752985,411.9672519,4.53E-9,0.009048967,-0.021572232,0.0,0.0,0.0,0.052237803,30.79542033
1.6,4.79E-11,0.015452096,51.17782986,29959.05261,2.56E-8,-2.21E-19,32.1066611,-1.74E-25,-2.25E-19,-0.006684944,0.0,0.0,0.0,-3070.669792,995.025129,8.92278E-4,631.0159686,411.9848849,4.79E-9,0.009568827,-0.024342943,0.0,0.0,0.0,0.055216047,32.55186244
1.7,5.06E-11,0.017207471,54.37474365,29953.77498,3.01E-8,-2.2E-19,32.1066772,-1.74E-25,-2.24E-19,-0.007102756,0.0,0.0,0.0,-3262.484619,995.0477905,8.92449E-4,631.1656983,412.003651,5.05E-9,0.010093269,-0.027292519,0.0,0.0,0.0,0.058218655,34.32279029
1.8,5.32E-11,0.019062097,57.57135336,29948.17767,3.51E-8,-2.19E-19,32.10669428,-1.74E-25,-2.23E-19,-0.007520568,0.0,0.0,0.0,-3454.281202,995.071828,8.92631E-4,631.3245002,412.0235568,5.31E-9,0.010621653,-0.030421343,0.0,0.0,0.0,0.061241934,36.10603572
